frame,gaze
387.jpg,"(0.65, 0.70)"
1356.jpg,"(0.45, 0.75)"
1594.jpg,"(0.50, 0.60)"
1922.jpg,"(0.45, 0.65)"
2311.jpg,"(0.50, 0.60)"
2444.jpg,"(0.50, 0.60)"
2900.jpg,"(0.50, 0.60)"
3592.jpg,"(0.50, 0.60)"
3681.jpg,"(0.45, 0.85)"
3804.jpg,"(0.45, 0.80)"
3836.jpg,"(0.45, 0.78)"
4276.jpg,"(0.50, 0.70)"
4532.jpg,"(0.25, 0.65)"
4612.jpg,"(0.45, 0.65)"
4691.jpg,"(0.45, 0.65)"
5887.jpg,"(0.50, 0.60)"
7270.jpg,"(0.45, 0.65)"
7518.jpg,"(0.52, 0.68)"
7704.jpg,"(0.50, 0.60)"
7796.jpg,"(0.75, 0.70)"
8031.jpg,"(0.45, 0.65)"
8375.jpg,"(0.50, 0.60)"
8555.jpg,"(0.45, 0.65)"
9659.jpg,"(0.35, 0.65)"
