frame,gaze
527.jpg,"(0.54, 0.68)"
732.jpg,"(0.50, 0.60)"
894.jpg,"(0.55, 0.65)"
951.jpg,"(0.58, 0.69)"
1338.jpg,"(0.45, 0.72)"
1517.jpg,"(0.45, 0.65)"
2249.jpg,"(0.35, 0.78)"
2454.jpg,"(0.45, 0.45)"
2508.jpg,"(0.65, 0.68)"
2921.jpg,"(0.58, 0.64)"
3107.jpg,"(0.45, 0.45)"
3168.jpg,"(0.45, 0.65)"
3422.jpg,"(0.52, 0.65)"
3549.jpg,"(0.65, 0.48)"
3900.jpg,"(0.52, 0.68)"
4346.jpg,"(0.65, 0.70)"
4565.jpg,"(0.45, 0.35)"
5102.jpg,"(0.45, 0.72)"
5228.jpg,"(0.45, 0.60)"
5502.jpg,"(0.45, 0.85)"
5624.jpg,"(0.35, 0.65)"
5776.jpg,"(0.45, 0.65)"
5810.jpg,"(0.35, 0.60)"
6293.jpg,"(0.65, 0.80)"
6649.jpg,"(0.45, 0.65)"
7134.jpg,"(0.45, 0.65)"
8435.jpg,"(0.48, 0.71)"
8759.jpg,"(0.52, 0.68)"
9080.jpg,"(0.48, 0.65)"
9411.jpg,"(0.52, 0.65)"
9452.jpg,"(0.45, 0.65)"
9926.jpg,"(0.50, 0.75)"
11627.jpg,"(0.45, 0.60)"
12222.jpg,"(0.48, 0.62)"
12358.jpg,"(0.52, 0.56)"
12411.jpg,"(0.45, 0.62)"
12691.jpg,"(0.45, 0.58)"
12910.jpg,"(0.35, 0.55)"
13195.jpg,"(0.52, 0.61)"
13378.jpg,"(0.35, 0.78)"
13523.jpg,"(0.35, 0.75)"
