frame,gaze
1084.jpg,"(0.58, 0.60)"
1277.jpg,"(0.52, 0.54)"
1455.jpg,"(0.52, 0.64)"
1717.jpg,"(0.35, 0.45)"
1770.jpg,"(0.50, 0.35)"
2572.jpg,"(0.35, 0.65)"
2999.jpg,"(0.50, 0.60)"
3061.jpg,"(0.50, 0.60)"
3209.jpg,"(0.50, 0.60)"
3218.jpg,"(0.50, 0.65)"
3442.jpg,"(0.45, 0.60)"
3729.jpg,"(0.52, 0.60)"
3783.jpg,"(0.65, 0.60)"
3817.jpg,"(0.50, 0.35)"
4267.jpg,"(0.65, 0.58)"
4352.jpg,"(0.35, 0.75)"
4437.jpg,"(0.52, 0.61)"
4668.jpg,"(0.50, 0.60)"
4897.jpg,"(0.50, 0.60)"
5302.jpg,"(0.52, 0.63)"
5659.jpg,"(0.52, 0.64)"
5758.jpg,"(0.50, 0.60)"
6176.jpg,"(0.52, 0.74)"
6319.jpg,"(0.54, 0.53)"
