frame,gaze
198.jpg,"(0.50, 0.70)"
558.jpg,"(0.60, 0.70)"
1337.jpg,"(0.35, 0.60)"
2087.jpg,"(0.65, 0.65)"
2208.jpg,"(0.35, 0.65)"
2591.jpg,"(0.50, 0.60)"
3236.jpg,"(0.65, 0.70)"
3635.jpg,"(0.50, 0.60)"
4021.jpg,"(0.50, 0.60)"
4053.jpg,"(0.52, 0.65)"
4642.jpg,"(0.35, 0.65)"
4882.jpg,"(0.50, 0.60)"
5025.jpg,"(0.50, 0.60)"
5745.jpg,"(0.50, 0.75)"
5863.jpg,"(0.50, 0.75)"
7910.jpg,"(0.50, 0.75)"
8015.jpg,"(0.35, 0.65)"
8502.jpg,"(0.25, 0.50)"
8662.jpg,"(0.25, 0.60)"
9198.jpg,"(0.52, 0.65)"
