frame,gaze
900.jpg,"(0.52, 0.60)"
1089.jpg,"(0.52, 0.60)"
1157.jpg,"(0.50, 0.60)"
1358.jpg,"(0.52, 0.60)"
1511.jpg,"(0.35, 0.60)"
1975.jpg,"(0.45, 0.55)"
2085.jpg,"(0.35, 0.55)"
2265.jpg,"(0.45, 0.55)"
2281.jpg,"(0.45, 0.55)"
2455.jpg,"(0.52, 0.60)"
2539.jpg,"(0.65, 0.65)"
3056.jpg,"(0.65, 0.58)"
3104.jpg,"(0.54, 0.58)"
3144.jpg,"(0.56, 0.59)"
3425.jpg,"(0.45, 0.60)"
3583.jpg,"(0.52, 0.60)"
3610.jpg,"(0.50, 0.60)"
4098.jpg,"(0.58, 0.49)"
4503.jpg,"(0.45, 0.60)"
4589.jpg,"(0.45, 0.60)"
5386.jpg,"(0.50, 0.60)"
