frame,gaze
1135.jpg,"(0.54, 0.62)"
1183.jpg,"(0.65, 0.65)"
1591.jpg,"(0.35, 0.45)"
2216.jpg,"(0.50, 0.65)"
3854.jpg,"(0.45, 0.65)"
5490.jpg,"(0.50, 0.45)"
6256.jpg,"(0.65, 0.75)"
7195.jpg,"(0.50, 0.60)"
7904.jpg,"(0.60, 0.65)"
8660.jpg,"(0.65, 0.75)"
13352.jpg,"(0.58, 0.69)"
13702.jpg,"(0.48, 0.76)"
13882.jpg,"(0.45, 0.60)"
14510.jpg,"(0.50, 0.50)"
14742.jpg,"(0.52, 0.68)"
14949.jpg,"(0.42, 0.65)"
15167.jpg,"(0.35, 0.75)"
15479.jpg,"(0.52, 0.71)"
15833.jpg,"(0.75, 0.65)"
16105.jpg,"(0.54, 0.67)"
