frame,gaze
155.jpg,"(0.35, 0.65)"
460.jpg,"(0.52, 0.68)"
892.jpg,"(0.45, 0.65)"
1092.jpg,"(0.45, 0.48)"
1192.jpg,"(0.75, 0.80)"
1300.jpg,"(0.45, 0.55)"
1390.jpg,"(0.50, 0.60)"
1423.jpg,"(0.65, 0.45)"
1533.jpg,"(0.45, 0.60)"
1717.jpg,"(0.45, 0.60)"
1800.jpg,"(0.35, 0.65)"
1906.jpg,"(0.45, 0.45)"
1997.jpg,"(0.52, 0.65)"
2031.jpg,"(0.45, 0.60)"
2259.jpg,"(0.35, 0.45)"
2373.jpg,"(0.54, 0.56)"
2434.jpg,"(0.58, 0.62)"
2631.jpg,"(0.52, 0.68)"
3077.jpg,"(0.52, 0.63)"
3330.jpg,"(0.52, 0.64)"
3821.jpg,"(0.54, 0.58)"
4162.jpg,"(0.56, 0.42)"
4544.jpg,"(0.65, 0.55)"
5283.jpg,"(0.65, 0.55)"
5672.jpg,"(0.25, 0.65)"
5709.jpg,"(0.65, 0.55)"
5939.jpg,"(0.52, 0.58)"
6301.jpg,"(0.35, 0.75)"
6407.jpg,"(0.45, 0.60)"
6945.jpg,"(0.65, 0.58)"
6979.jpg,"(0.45, 0.55)"
7645.jpg,"(0.45, 0.68)"
7750.jpg,"(0.52, 0.54)"
7881.jpg,"(0.50, 0.60)"
8827.jpg,"(0.35, 0.65)"
9056.jpg,"(0.35, 0.78)"
9200.jpg,"(0.50, 0.50)"
9284.jpg,"(0.45, 0.55)"
12130.jpg,"(0.45, 0.60)"
12325.jpg,"(0.25, 0.65)"
12384.jpg,"(0.52, 0.68)"
12523.jpg,"(0.75, 0.65)"
12731.jpg,"(0.52, 0.64)"
13263.jpg,"(0.58, 0.61)"
14159.jpg,"(0.45, 0.55)"
14399.jpg,"(0.35, 0.78)"
14479.jpg,"(0.45, 0.60)"
14554.jpg,"(0.60, 0.65)"
15546.jpg,"(0.45, 0.60)"
15784.jpg,"(0.45, 0.65)"
15839.jpg,"(0.52, 0.48)"
15943.jpg,"(0.55, 0.45)"
17025.jpg,"(0.52, 0.64)"
17257.jpg,"(0.35, 0.65)"
17431.jpg,"(0.52, 0.48)"
17517.jpg,"(0.65, 0.65)"
18135.jpg,"(0.45, 0.60)"
18435.jpg,"(0.45, 0.60)"
18513.jpg,"(0.52, 0.45)"
18658.jpg,"(0.35, 0.55)"
18687.jpg,"(0.52, 0.48)"
19064.jpg,"(0.50, 0.50)"
19137.jpg,"(0.65, 0.48)"
19224.jpg,"(0.65, 0.80)"
19324.jpg,"(0.45, 0.45)"
19560.jpg,"(0.65, 0.65)"
19688.jpg,"(0.45, 0.60)"
20380.jpg,"(0.45, 0.65)"
20578.jpg,"(0.52, 0.64)"
20888.jpg,"(0.65, 0.65)"
21358.jpg,"(0.52, 0.68)"
21626.jpg,"(0.65, 0.60)"
21697.jpg,"(0.50, 0.50)"
22461.jpg,"(0.52, 0.78)"
22662.jpg,"(0.75, 0.70)"
