frame,gaze
348.jpg,"(0.35, 0.45)"
450.jpg,"(0.85, 0.65)"
561.jpg,"(0.35, 0.65)"
759.jpg,"(0.45, 0.50)"
813.jpg,"(0.45, 0.65)"
1029.jpg,"(0.45, 0.65)"
1208.jpg,"(0.45, 0.65)"
1870.jpg,"(0.45, 0.60)"
2026.jpg,"(0.50, 0.60)"
3145.jpg,"(0.50, 0.60)"
4805.jpg,"(0.75, 0.65)"
5005.jpg,"(0.45, 0.60)"
5207.jpg,"(0.48, 0.59)"
6216.jpg,"(0.58, 0.62)"
6464.jpg,"(0.42, 0.69)"
7767.jpg,"(0.50, 0.60)"
7904.jpg,"(0.50, 0.65)"
9235.jpg,"(0.45, 0.65)"
9318.jpg,"(0.45, 0.60)"
9378.jpg,"(0.35, 0.65)"
10168.jpg,"(0.50, 0.50)"
10259.jpg,"(0.45, 0.65)"
10420.jpg,"(0.35, 0.65)"
10635.jpg,"(0.45, 0.65)"
10662.jpg,"(0.45, 0.65)"
11242.jpg,"(0.52, 0.60)"
11330.jpg,"(0.48, 0.62)"
11528.jpg,"(0.48, 0.65)"
11792.jpg,"(0.52, 0.78)"
11830.jpg,"(0.52, 0.64)"
12311.jpg,"(0.45, 0.65)"
12493.jpg,"(0.50, 0.45)"
