frame,gaze
811.jpg,"(0.65, 0.85)"
1343.jpg,"(0.45, 0.55)"
1528.jpg,"(0.50, 0.45)"
2553.jpg,"(0.50, 0.60)"
2689.jpg,"(0.50, 0.45)"
2958.jpg,"(0.52, 0.60)"
3158.jpg,"(0.45, 0.60)"
3208.jpg,"(0.45, 0.65)"
3324.jpg,"(0.35, 0.75)"
3331.jpg,"(0.45, 0.65)"
3478.jpg,"(0.52, 0.68)"
3765.jpg,"(0.52, 0.60)"
3816.jpg,"(0.58, 0.46)"
4115.jpg,"(0.58, 0.63)"
4167.jpg,"(0.47, 0.63)"
4327.jpg,"(0.65, 0.72)"
4369.jpg,"(0.52, 0.68)"
4822.jpg,"(0.56, 0.72)"
4971.jpg,"(0.59, 0.68)"
5535.jpg,"(0.60, 0.70)"
5615.jpg,"(0.58, 0.76)"
6057.jpg,"(0.50, 0.50)"
6188.jpg,"(0.65, 0.58)"
6261.jpg,"(0.52, 0.68)"
6442.jpg,"(0.58, 0.76)"
6570.jpg,"(0.54, 0.48)"
