frame,gaze
OP01-R01-PastaSalad-1002316-1004005_20323.png,"(0.45, 0.60)"
OP01-R01-PastaSalad-1004110-1021110_20595.png,"(0.45, 0.60)"
OP01-R01-PastaSalad-1022590-1024050_20862.png,"(0.45, 0.60)"
OP01-R01-PastaSalad-1029725-1031715_20914.png,"(0.50, 0.40)"
OP01-R01-PastaSalad-1063805-1064815_20959.png,"(0.50, 0.50)"
OP01-R01-PastaSalad-1064965-1075115_21120.png,"(0.50, 0.60)"
OP01-R01-PastaSalad-106910-112100_886.png,"(0.50, 0.40)"
OP01-R01-PastaSalad-1075215-1079125_21323.png,"(0.50, 0.60)"
OP01-R01-PastaSalad-1081255-1083455_21412.png,"(0.50, 0.60)"
OP01-R01-PastaSalad-1102245-1115035_21628.png,"(0.50, 0.60)"
OP01-R01-PastaSalad-1115060-1121560_21907.png,"(0.50, 0.60)"
OP01-R01-PastaSalad-112570-114230_987.png,"(0.35, 0.75)"
OP01-R01-PastaSalad-1131720-1133350_22025.png,"(0.50, 0.50)"
OP01-R01-PastaSalad-1133350-1135180_22077.png,"(0.50, 0.50)"
OP01-R01-PastaSalad-1135180-1141210_22191.png,"(0.45, 0.55)"
OP01-R01-PastaSalad-114950-117820_1054.png,"(0.50, 0.30)"
OP01-R01-PastaSalad-115460-117540_1127.png,"(0.35, 0.42)"
OP01-R01-PastaSalad-1159830-1192160_22745.png,"(0.50, 0.60)"
OP01-R01-PastaSalad-118770-120420_1183.png,"(0.35, 0.75)"
OP01-R01-PastaSalad-1212385-1219155_23309.png,"(0.45, 0.55)"
OP01-R01-PastaSalad-121790-123230_1229.png,"(0.45, 0.60)"
OP01-R01-PastaSalad-1219175-1220835_23432.png,"(0.50, 0.45)"
OP01-R01-PastaSalad-1220840-1222260_23478.png,"(0.45, 0.50)"
OP01-R01-PastaSalad-1222245-1223255_23514.png,"(0.50, 0.60)"
OP01-R01-PastaSalad-1223605-1225305_23555.png,"(0.35, 0.60)"
OP01-R01-PastaSalad-1225080-1225900_23594.png,"(0.45, 0.65)"
OP01-R01-PastaSalad-1229605-1236065_23700.png,"(0.45, 0.38)"
OP01-R01-PastaSalad-123365-128265_1323.png,"(0.65, 0.45)"
OP01-R01-PastaSalad-1236540-1238290_23820.png,"(0.45, 0.60)"
OP01-R01-PastaSalad-1239760-1240670_23860.png,"(0.50, 0.60)"
OP01-R01-PastaSalad-1243030-1250580_23983.png,"(0.50, 0.50)"
OP01-R01-PastaSalad-1252509-1263139_24246.png,"(0.50, 0.40)"
OP01-R01-PastaSalad-1264849-1288139_24736.png,"(0.50, 0.40)"
OP01-R01-PastaSalad-129150-132000_1437.png,"(0.65, 0.42)"
OP01-R01-PastaSalad-1291810-1293140_25093.png,"(0.55, 0.55)"
OP01-R01-PastaSalad-1296960-1309070_25288.png,"(0.50, 0.60)"
OP01-R01-PastaSalad-1309480-1310670_25481.png,"(0.50, 0.60)"
OP01-R01-PastaSalad-1311110-1312370_25519.png,"(0.15, 0.60)"
OP01-R01-PastaSalad-1312625-1313945_25557.png,"(0.45, 0.65)"
OP01-R01-PastaSalad-1314885-1316195_25596.png,"(0.75, 0.65)"
OP01-R01-PastaSalad-1317567-1343781_25994.png,"(0.50, 0.60)"
OP01-R01-PastaSalad-133685-135325_1503.png,"(0.75, 0.65)"
OP01-R01-PastaSalad-1343924-1357174_26565.png,"(0.45, 0.65)"
OP01-R01-PastaSalad-135590-154120_1795.png,"(0.35, 0.75)"
OP01-R01-PastaSalad-1357220-1360610_26806.png,"(0.45, 0.45)"
OP01-R01-PastaSalad-1361377-1362413_26871.png,"(0.45, 0.60)"
OP01-R01-PastaSalad-1362482-1363607_26902.png,"(0.45, 0.65)"
OP01-R01-PastaSalad-1364725-1365495_26931.png,"(0.25, 0.75)"
OP01-R01-PastaSalad-1365595-1366395_26955.png,"(0.45, 0.65)"
OP01-R01-PastaSalad-1366570-1369860_27016.png,"(0.45, 0.70)"
OP01-R01-PastaSalad-1370300-1383030_27248.png,"(0.45, 0.55)"
OP01-R01-PastaSalad-1383430-1386910_27482.png,"(0.35, 0.65)"
OP01-R01-PastaSalad-1386854-1387602_27545.png,"(0.25, 0.70)"
OP01-R01-PastaSalad-1387591-1388132_27565.png,"(0.45, 0.50)"
OP01-R01-PastaSalad-1388132-1389630_27596.png,"(0.45, 0.65)"
OP01-R01-PastaSalad-1390420-1391550_27634.png,"(0.45, 0.65)"
OP01-R01-PastaSalad-1391800-1393610_27677.png,"(0.35, 0.65)"
OP01-R01-PastaSalad-1393460-1394270_27716.png,"(0.60, 0.35)"
OP01-R01-PastaSalad-1443800-1445000_27747.png,"(0.15, 0.60)"
OP01-R01-PastaSalad-1445005-1446705_27790.png,"(0.45, 0.60)"
OP01-R01-PastaSalad-1447030-1449910_27857.png,"(0.50, 0.60)"
