frame,gaze
OP01-R06-GreekSalad-100160-103060_1450.png,"(0.35, 0.65)"
OP01-R06-GreekSalad-104025-105235_1511.png,"(0.45, 0.65)"
OP01-R06-GreekSalad-105265-106245_1544.png,"(0.52, 0.68)"
OP01-R06-GreekSalad-106270-107260_1574.png,"(0.54, 0.68)"
OP01-R06-GreekSalad-110375-111805_1610.png,"(0.50, 0.50)"
OP01-R06-GreekSalad-110595-111625_1646.png,"(0.50, 0.50)"
OP01-R06-GreekSalad-113945-115495_1683.png,"(0.45, 0.65)"
OP01-R06-GreekSalad-115015-120755_1790.png,"(0.50, 0.60)"
OP01-R06-GreekSalad-120450-121060_1883.png,"(0.75, 0.60)"
OP01-R06-GreekSalad-125790-127020_1912.png,"(0.58, 0.67)"
OP01-R06-GreekSalad-126520-128260_1957.png,"(0.52, 0.78)"
OP01-R06-GreekSalad-128275-128845_1992.png,"(0.45, 0.60)"
OP01-R06-GreekSalad-129195-130995_2027.png,"(0.45, 0.65)"
OP01-R06-GreekSalad-133930-134850_2068.png,"(0.45, 0.75)"
OP01-R06-GreekSalad-134305-135075_2094.png,"(0.45, 0.75)"
OP01-R06-GreekSalad-135075-135815_2118.png,"(0.35, 0.65)"
OP01-R06-GreekSalad-136405-158885_2455.png,"(0.45, 0.75)"
OP01-R06-GreekSalad-158980-159750_2792.png,"(0.45, 0.65)"
OP01-R06-GreekSalad-159750-160540_2816.png,"(0.35, 0.75)"
OP01-R06-GreekSalad-164540-187210_3155.png,"(0.45, 0.75)"
OP01-R06-GreekSalad-187860-202110_3689.png,"(0.65, 0.75)"
OP01-R06-GreekSalad-203560-205570_3925.png,"(0.52, 0.78)"
OP01-R06-GreekSalad-205570-208610_3999.png,"(0.75, 0.80)"
OP01-R06-GreekSalad-209025-211285_4077.png,"(0.50, 0.60)"
OP01-R06-GreekSalad-212120-213360_4129.png,"(0.45, 0.80)"
OP01-R06-GreekSalad-213375-215660_4181.png,"(0.75, 0.45)"
OP01-R06-GreekSalad-218000-218660_4223.png,"(0.45, 0.65)"
OP01-R06-GreekSalad-218715-219495_4245.png,"(0.45, 0.65)"
OP01-R06-GreekSalad-220980-240710_4542.png,"(0.45, 0.75)"
OP01-R06-GreekSalad-240800-258620_5083.png,"(0.52, 0.74)"
OP01-R06-GreekSalad-259340-260310_5354.png,"(0.25, 0.75)"
OP01-R06-GreekSalad-260390-264400_5427.png,"(0.50, 0.60)"
OP01-R06-GreekSalad-264770-267090_5519.png,"(0.45, 0.60)"
OP01-R06-GreekSalad-267135-274955_5665.png,"(0.50, 0.65)"
OP01-R06-GreekSalad-275310-275950_5787.png,"(0.45, 0.75)"
OP01-R06-GreekSalad-277400-279090_5822.png,"(0.65, 0.70)"
OP01-R06-GreekSalad-279620-283210_5900.png,"(0.50, 0.70)"
OP01-R06-GreekSalad-283310-284200_5966.png,"(0.45, 0.75)"
OP01-R06-GreekSalad-284270-285170_5994.png,"(0.45, 0.60)"
OP01-R06-GreekSalad-285215-289935_6076.png,"(0.45, 0.65)"
OP01-R06-GreekSalad-294010-319600_6514.png,"(0.45, 0.72)"
OP01-R06-GreekSalad-319650-321940_6916.png,"(0.52, 0.74)"
OP01-R06-GreekSalad-321970-325280_6998.png,"(0.41, 0.85)"
OP01-R06-GreekSalad-326200-330280_7107.png,"(0.35, 0.65)"
OP01-R06-GreekSalad-332810-333890_7183.png,"(0.58, 0.42)"
OP01-R06-GreekSalad-335675-351435_7427.png,"(0.45, 0.70)"
OP01-R06-GreekSalad-351700-367960_7890.png,"(0.62, 0.75)"
OP01-R06-GreekSalad-368480-382570_8330.png,"(0.48, 0.75)"
OP01-R06-GreekSalad-382660-387080_8598.png,"(0.35, 0.80)"
OP01-R06-GreekSalad-387305-388275_8676.png,"(0.54, 0.78)"
OP01-R06-GreekSalad-389170-409060_8977.png,"(0.45, 0.65)"
OP01-R06-GreekSalad-391470-393060_9288.png,"(0.50, 0.65)"
OP01-R06-GreekSalad-396010-398180_9344.png,"(0.45, 0.65)"
OP01-R06-GreekSalad-402235-403045_9389.png,"(0.45, 0.65)"
OP01-R06-GreekSalad-405085-405935_9415.png,"(0.45, 0.65)"
OP01-R06-GreekSalad-406685-407205_9436.png,"(0.45, 0.65)"
OP01-R06-GreekSalad-409310-410270_9458.png,"(0.45, 0.65)"
OP01-R06-GreekSalad-410535-428330_9729.png,"(0.45, 0.60)"
OP01-R06-GreekSalad-420850-421850_10001.png,"(0.45, 0.60)"
OP01-R06-GreekSalad-425915-429675_10071.png,"(0.35, 0.65)"
OP01-R06-GreekSalad-430200-430830_10136.png,"(0.45, 0.75)"
OP01-R06-GreekSalad-430930-449265_10411.png,"(0.45, 0.65)"
OP01-R06-GreekSalad-43500-45260_26.png,"(0.50, 0.60)"
OP01-R06-GreekSalad-441235-441765_10684.png,"(0.45, 0.65)"
OP01-R06-GreekSalad-449955-451155_10711.png,"(0.35, 0.45)"
OP01-R06-GreekSalad-451355-452055_10740.png,"(0.45, 0.65)"
OP01-R06-GreekSalad-454055-462255_10869.png,"(0.52, 0.68)"
OP01-R06-GreekSalad-460770-461820_11003.png,"(0.45, 0.75)"
OP01-R06-GreekSalad-462930-463700_11031.png,"(0.45, 0.70)"
OP01-R06-GreekSalad-46510-52600_140.png,"(0.45, 0.35)"
OP01-R06-GreekSalad-465120-471590_11137.png,"(0.45, 0.65)"
OP01-R06-GreekSalad-475240-503350_11636.png,"(0.45, 0.75)"
OP01-R06-GreekSalad-503800-510080_12133.png,"(0.65, 0.70)"
OP01-R06-GreekSalad-510605-512725_12255.png,"(0.52, 0.68)"
OP01-R06-GreekSalad-518170-525260_12390.png,"(0.45, 0.65)"
OP01-R06-GreekSalad-52640-55190_265.png,"(0.45, 0.35)"
OP01-R06-GreekSalad-528560-535970_12601.png,"(0.45, 0.65)"
OP01-R06-GreekSalad-537010-541890_12779.png,"(0.45, 0.60)"
OP01-R06-GreekSalad-545335-546405_12865.png,"(0.45, 0.60)"
OP01-R06-GreekSalad-550015-556545_12975.png,"(0.45, 0.55)"
OP01-R06-GreekSalad-557455-558855_13091.png,"(0.30, 0.65)"
OP01-R06-GreekSalad-560710-561310_13121.png,"(0.15, 0.60)"
OP01-R06-GreekSalad-562805-564775_13158.png,"(0.35, 0.60)"
OP01-R06-GreekSalad-564835-568725_13243.png,"(0.45, 0.65)"
OP01-R06-GreekSalad-568805-570015_13318.png,"(0.65, 0.75)"
OP01-R06-GreekSalad-570025-572105_13368.png,"(0.15, 0.60)"
OP01-R06-GreekSalad-57220-81300_651.png,"(0.50, 0.60)"
OP01-R06-GreekSalad-574490-576360_13426.png,"(0.65, 0.55)"
OP01-R06-GreekSalad-578925-580015_13470.png,"(0.15, 0.75)"
OP01-R06-GreekSalad-580105-582955_13528.png,"(0.45, 0.60)"
OP01-R06-GreekSalad-582955-584385_13591.png,"(0.45, 0.35)"
OP01-R06-GreekSalad-585095-587215_13644.png,"(0.50, 0.25)"
OP01-R06-GreekSalad-587300-588820_13698.png,"(0.50, 0.60)"
OP01-R06-GreekSalad-598650-599570_13734.png,"(0.58, 0.78)"
OP01-R06-GreekSalad-599585-601805_13780.png,"(0.60, 0.75)"
OP01-R06-GreekSalad-601800-602710_13827.png,"(0.35, 0.75)"
OP01-R06-GreekSalad-603060-604400_13861.png,"(0.35, 0.45)"
OP01-R06-GreekSalad-606025-622995_14125.png,"(0.45, 0.65)"
OP01-R06-GreekSalad-623020-625580_14407.png,"(0.52, 0.78)"
OP01-R06-GreekSalad-626035-630015_14503.png,"(0.45, 0.65)"
OP01-R06-GreekSalad-630350-632350_14591.png,"(0.45, 0.65)"
OP01-R06-GreekSalad-632465-644195_14790.png,"(0.45, 0.65)"
OP01-R06-GreekSalad-644340-645210_14973.png,"(0.45, 0.65)"
OP01-R06-GreekSalad-645310-646620_15006.png,"(0.58, 0.65)"
OP01-R06-GreekSalad-649075-650635_15050.png,"(0.45, 0.75)"
OP01-R06-GreekSalad-650660-651800_15092.png,"(0.45, 0.75)"
OP01-R06-GreekSalad-651755-652845_15126.png,"(0.15, 0.70)"
OP01-R06-GreekSalad-652755-653505_15154.png,"(0.50, 0.30)"
OP01-R06-GreekSalad-653555-655555_15196.png,"(0.50, 0.60)"
OP01-R06-GreekSalad-655890-658110_15258.png,"(0.65, 0.45)"
OP01-R06-GreekSalad-659585-660585_15306.png,"(0.75, 0.60)"
OP01-R06-GreekSalad-663545-669785_15411.png,"(0.55, 0.45)"
OP01-R06-GreekSalad-674680-675760_15518.png,"(0.45, 0.65)"
OP01-R06-GreekSalad-677675-691565_15734.png,"(0.52, 0.65)"
OP01-R06-GreekSalad-691575-693495_15963.png,"(0.45, 0.70)"
OP01-R06-GreekSalad-693860-698450_16058.png,"(0.50, 0.80)"
OP01-R06-GreekSalad-698520-699520_16140.png,"(0.35, 0.75)"
OP01-R06-GreekSalad-699105-700325_16173.png,"(0.45, 0.65)"
OP01-R06-GreekSalad-700870-702780_16220.png,"(0.35, 0.45)"
OP01-R06-GreekSalad-705030-705860_16261.png,"(0.50, 0.65)"
OP01-R06-GreekSalad-706040-709240_16320.png,"(0.50, 0.70)"
OP01-R06-GreekSalad-709235-710435_16385.png,"(0.45, 0.75)"
OP01-R06-GreekSalad-710760-712840_16435.png,"(0.45, 0.65)"
OP01-R06-GreekSalad-712855-715525_16505.png,"(0.50, 0.70)"
OP01-R06-GreekSalad-714615-715545_16558.png,"(0.45, 0.75)"
OP01-R06-GreekSalad-716085-718255_16605.png,"(0.45, 0.45)"
OP01-R06-GreekSalad-718185-718695_16645.png,"(0.35, 0.50)"
OP01-R06-GreekSalad-718745-719635_16667.png,"(0.58, 0.75)"
OP01-R06-GreekSalad-719890-721830_16709.png,"(0.52, 0.68)"
OP01-R06-GreekSalad-722205-722965_16749.png,"(0.52, 0.68)"
OP01-R06-GreekSalad-723040-725330_16795.png,"(0.45, 0.70)"
OP01-R06-GreekSalad-725330-726310_16844.png,"(0.45, 0.75)"
OP01-R06-GreekSalad-726715-728915_16891.png,"(0.45, 0.65)"
OP01-R06-GreekSalad-728910-730950_16953.png,"(0.45, 0.75)"
OP01-R06-GreekSalad-728975-730025_16999.png,"(0.45, 0.75)"
OP01-R06-GreekSalad-734750-737340_17053.png,"(0.45, 0.38)"
OP01-R06-GreekSalad-739400-740570_17109.png,"(0.58, 0.75)"
OP01-R06-GreekSalad-741170-744090_17170.png,"(0.50, 0.70)"
OP01-R06-GreekSalad-744535-750195_17295.png,"(0.55, 0.60)"
OP01-R06-GreekSalad-753150-756190_17421.png,"(0.45, 0.75)"
OP01-R06-GreekSalad-756180-757190_17481.png,"(0.45, 0.75)"
OP01-R06-GreekSalad-757210-757890_17506.png,"(0.50, 0.60)"
OP01-R06-GreekSalad-757905-786615_17930.png,"(0.45, 0.65)"
OP01-R06-GreekSalad-787270-787770_18353.png,"(0.45, 0.45)"
OP01-R06-GreekSalad-789285-790985_18386.png,"(0.50, 0.40)"
OP01-R06-GreekSalad-794790-796010_18431.png,"(0.35, 0.45)"
OP01-R06-GreekSalad-796500-800380_18506.png,"(0.45, 0.38)"
OP01-R06-GreekSalad-796625-797945_18582.png,"(0.45, 0.30)"
OP01-R06-GreekSalad-798100-799330_18620.png,"(0.45, 0.38)"
OP01-R06-GreekSalad-803280-804120_18652.png,"(0.52, 0.68)"
OP01-R06-GreekSalad-804135-804740_18674.png,"(0.65, 0.80)"
OP01-R06-GreekSalad-804752-805352_18692.png,"(0.35, 0.65)"
OP01-R06-GreekSalad-807610-809480_18728.png,"(0.50, 0.60)"
OP01-R06-GreekSalad-809490-810150_18766.png,"(0.45, 0.65)"
OP01-R06-GreekSalad-810155-811745_18800.png,"(0.65, 0.75)"
OP01-R06-GreekSalad-814160-815610_18845.png,"(0.25, 0.75)"
OP01-R06-GreekSalad-82740-84270_1021.png,"(0.50, 0.45)"
OP01-R06-GreekSalad-84290-86630_1078.png,"(0.75, 0.60)"
OP01-R06-GreekSalad-87765-88845_1129.png,"(0.50, 0.60)"
OP01-R06-GreekSalad-89340-91840_1182.png,"(0.45, 0.65)"
OP01-R06-GreekSalad-91845-93485_1243.png,"(0.75, 0.75)"
OP01-R06-GreekSalad-93260-94980_1293.png,"(0.35, 0.75)"
OP01-R06-GreekSalad-95625-98665_1363.png,"(0.65, 0.45)"
