frame,gaze
OP01-R07-Pizza-100395-102215_1294.png,"(0.50, 0.50)"
OP01-R07-Pizza-102330-104340_1351.png,"(0.75, 0.60)"
OP01-R07-Pizza-104830-106060_1401.png,"(0.50, 0.40)"
OP01-R07-Pizza-1070390-1072910_22017.png,"(0.25, 0.45)"
OP01-R07-Pizza-1073700-1074450_22066.png,"(0.55, 0.48)"
OP01-R07-Pizza-1077035-1077645_22087.png,"(0.35, 0.60)"
OP01-R07-Pizza-1077655-1078310_22107.png,"(0.50, 0.45)"
OP01-R07-Pizza-108170-111080_1462.png,"(0.65, 0.80)"
OP01-R07-Pizza-1082037-1085187_22163.png,"(0.45, 0.60)"
OP01-R07-Pizza-1086360-1087990_22233.png,"(0.65, 0.75)"
OP01-R07-Pizza-1089900-1091890_22288.png,"(0.25, 0.60)"
OP01-R07-Pizza-1094740-1097430_22357.png,"(0.85, 0.55)"
OP01-R07-Pizza-1106070-1107680_22421.png,"(0.50, 0.60)"
OP01-R07-Pizza-1110860-1111540_22456.png,"(0.50, 0.45)"
OP01-R07-Pizza-111240-112870_1529.png,"(0.65, 0.55)"
OP01-R07-Pizza-1112565-1129905_22716.png,"(0.52, 0.60)"
OP01-R07-Pizza-1137900-1140240_23000.png,"(0.25, 0.70)"
OP01-R07-Pizza-114090-117780_1608.png,"(0.58, 0.49)"
OP01-R07-Pizza-1141685-1142945_23053.png,"(0.65, 0.45)"
OP01-R07-Pizza-1144260-1147810_23123.png,"(0.45, 0.50)"
OP01-R07-Pizza-1147870-1149590_23201.png,"(0.25, 0.65)"
OP01-R07-Pizza-1150205-1152525_23261.png,"(0.50, 0.60)"
OP01-R07-Pizza-1151830-1153210_23316.png,"(0.65, 0.75)"
OP01-R07-Pizza-1164140-1166460_23371.png,"(0.45, 0.75)"
OP01-R07-Pizza-1168100-1170590_23442.png,"(0.35, 0.45)"
OP01-R07-Pizza-1172630-1174670_23509.png,"(0.35, 0.40)"
OP01-R07-Pizza-1174735-1175785_23555.png,"(0.35, 0.65)"
OP01-R07-Pizza-1175440-1176950_23593.png,"(0.30, 0.45)"
OP01-R07-Pizza-1183750-1186110_23649.png,"(0.45, 0.60)"
OP01-R07-Pizza-1186775-1187535_23695.png,"(0.58, 0.28)"
OP01-R07-Pizza-1189360-1190980_23731.png,"(0.65, 0.75)"
OP01-R07-Pizza-1192660-1193720_23772.png,"(0.58, 0.32)"
