frame,gaze
OP02-R02-TurkeySandwich-110790-112800_30.png,"(0.50, 0.25)"
OP02-R02-TurkeySandwich-113065-114325_80.png,"(0.65, 0.70)"
OP02-R02-TurkeySandwich-114395-116175_125.png,"(0.50, 0.60)"
OP02-R02-TurkeySandwich-116335-118605_185.png,"(0.45, 0.75)"
OP02-R02-TurkeySandwich-120640-124650_276.png,"(0.50, 0.40)"
OP02-R02-TurkeySandwich-125555-127545_364.png,"(0.50, 0.30)"
OP02-R02-TurkeySandwich-127580-130450_436.png,"(0.45, 0.30)"
OP02-R02-TurkeySandwich-131605-134145_516.png,"(0.52, 0.64)"
OP02-R02-TurkeySandwich-134195-135305_570.png,"(0.50, 0.60)"
OP02-R02-TurkeySandwich-135650-137090_608.png,"(0.45, 0.65)"
OP02-R02-TurkeySandwich-137120-139890_670.png,"(0.45, 0.35)"
OP02-R02-TurkeySandwich-139975-140785_723.png,"(0.50, 0.60)"
OP02-R02-TurkeySandwich-140890-141900_751.png,"(0.45, 0.70)"
OP02-R02-TurkeySandwich-141955-143825_793.png,"(0.45, 0.60)"
OP02-R02-TurkeySandwich-143880-149190_897.png,"(0.50, 0.45)"
OP02-R02-TurkeySandwich-149210-155510_1065.png,"(0.45, 0.75)"
OP02-R02-TurkeySandwich-158450-159520_1173.png,"(0.50, 0.60)"
OP02-R02-TurkeySandwich-159550-163100_1240.png,"(0.50, 0.45)"
OP02-R02-TurkeySandwich-163115-164025_1306.png,"(0.45, 0.75)"
OP02-R02-TurkeySandwich-166400-168580_1352.png,"(0.45, 0.50)"
OP02-R02-TurkeySandwich-168760-171710_1427.png,"(0.35, 0.25)"
OP02-R02-TurkeySandwich-178950-180020_1487.png,"(0.50, 0.40)"
OP02-R02-TurkeySandwich-183200-188860_1585.png,"(0.45, 0.75)"
OP02-R02-TurkeySandwich-189550-190410_1680.png,"(0.35, 0.65)"
OP02-R02-TurkeySandwich-191440-197130_1775.png,"(0.50, 0.60)"
OP02-R02-TurkeySandwich-198415-199395_1873.png,"(0.45, 0.65)"
OP02-R02-TurkeySandwich-199415-202385_1932.png,"(0.45, 0.65)"
OP02-R02-TurkeySandwich-204490-205450_1990.png,"(0.45, 0.65)"
OP02-R02-TurkeySandwich-205470-218610_2194.png,"(0.45, 0.55)"
OP02-R02-TurkeySandwich-219390-220190_2396.png,"(0.25, 0.60)"
OP02-R02-TurkeySandwich-220200-220740_2417.png,"(0.35, 0.60)"
OP02-R02-TurkeySandwich-220750-222180_2447.png,"(0.45, 0.70)"
OP02-R02-TurkeySandwich-222195-223965_2494.png,"(0.52, 0.54)"
OP02-R02-TurkeySandwich-223970-225330_2541.png,"(0.52, 0.68)"
OP02-R02-TurkeySandwich-227090-230310_2607.png,"(0.35, 0.45)"
OP02-R02-TurkeySandwich-230670-235210_2720.png,"(0.50, 0.45)"
OP02-R02-TurkeySandwich-239330-240560_2806.png,"(0.50, 0.45)"
OP02-R02-TurkeySandwich-243680-250190_2919.png,"(0.45, 0.70)"
OP02-R02-TurkeySandwich-251410-255820_3077.png,"(0.45, 0.65)"
OP02-R02-TurkeySandwich-255845-256605_3153.png,"(0.50, 0.60)"
OP02-R02-TurkeySandwich-259695-261065_3185.png,"(0.50, 0.70)"
OP02-R02-TurkeySandwich-260850-271150_3354.png,"(0.35, 0.42)"
OP02-R02-TurkeySandwich-270480-271160_3513.png,"(0.50, 0.60)"
OP02-R02-TurkeySandwich-275650-276990_3543.png,"(0.65, 0.45)"
OP02-R02-TurkeySandwich-279480-280390_3577.png,"(0.35, 0.45)"
OP02-R02-TurkeySandwich-280625-288575_3706.png,"(0.45, 0.65)"
OP02-R02-TurkeySandwich-288580-289430_3834.png,"(0.35, 0.52)"
OP02-R02-TurkeySandwich-289845-296645_3946.png,"(0.52, 0.65)"
OP02-R02-TurkeySandwich-296650-297630_4060.png,"(0.45, 0.60)"
OP02-R02-TurkeySandwich-297650-313953_4310.png,"(0.45, 0.60)"
OP02-R02-TurkeySandwich-314990-318850_4602.png,"(0.50, 0.60)"
OP02-R02-TurkeySandwich-318870-321450_4697.png,"(0.35, 0.65)"
OP02-R02-TurkeySandwich-322790-324610_4762.png,"(0.45, 0.35)"
OP02-R02-TurkeySandwich-324620-325640_4804.png,"(0.50, 0.45)"
OP02-R02-TurkeySandwich-325680-326510_4833.png,"(0.35, 0.70)"
OP02-R02-TurkeySandwich-328075-329505_4867.png,"(0.35, 0.60)"
OP02-R02-TurkeySandwich-330520-335080_4955.png,"(0.50, 0.45)"
OP02-R02-TurkeySandwich-335100-336160_5037.png,"(0.45, 0.60)"
OP02-R02-TurkeySandwich-336190-337370_5071.png,"(0.40, 0.65)"
OP02-R02-TurkeySandwich-337570-338430_5102.png,"(0.45, 0.60)"
OP02-R02-TurkeySandwich-338450-339790_5136.png,"(0.50, 0.60)"
OP02-R02-TurkeySandwich-339810-342610_5196.png,"(0.45, 0.60)"
