frame,gaze
OP03-R01-PastaSalad-100720-102010_1323.png,"(0.35, 0.45)"
OP03-R01-PastaSalad-116870-120350_1394.png,"(0.55, 0.45)"
OP03-R01-PastaSalad-120410-121910_1467.png,"(0.55, 0.45)"
OP03-R01-PastaSalad-122900-123990_1505.png,"(0.65, 0.45)"
OP03-R01-PastaSalad-125800-127320_1543.png,"(0.50, 0.30)"
OP03-R01-PastaSalad-128760-130700_1593.png,"(0.50, 0.60)"
OP03-R01-PastaSalad-132630-134090_1642.png,"(0.65, 0.45)"
OP03-R01-PastaSalad-135290-136480_1682.png,"(0.25, 0.60)"
OP03-R01-PastaSalad-141050-142130_1717.png,"(0.45, 0.45)"
OP03-R01-PastaSalad-142360-145060_1772.png,"(0.65, 0.45)"
OP03-R01-PastaSalad-145480-146420_1826.png,"(0.75, 0.65)"
OP03-R01-PastaSalad-148690-149570_1854.png,"(0.52, 0.78)"
OP03-R01-PastaSalad-153780-154920_1886.png,"(0.65, 0.20)"
OP03-R01-PastaSalad-155200-157750_1941.png,"(0.55, 0.35)"
OP03-R01-PastaSalad-158590-159960_1999.png,"(0.55, 0.45)"
OP03-R01-PastaSalad-160240-161100_2033.png,"(0.45, 0.50)"
OP03-R01-PastaSalad-161450-162150_2057.png,"(0.35, 0.45)"
OP03-R01-PastaSalad-162210-163900_2093.png,"(0.45, 0.60)"
OP03-R01-PastaSalad-163940-166670_2158.png,"(0.45, 0.65)"
OP03-R01-PastaSalad-169090-171350_2231.png,"(0.50, 0.30)"
OP03-R01-PastaSalad-178540-184800_2355.png,"(0.52, 0.60)"
OP03-R01-PastaSalad-186970-212130_2810.png,"(0.52, 0.68)"
OP03-R01-PastaSalad-214710-217630_3216.png,"(0.52, 0.60)"
OP03-R01-PastaSalad-218970-225590_3355.png,"(0.45, 0.65)"
OP03-R01-PastaSalad-226380-227060_3462.png,"(0.75, 0.70)"
OP03-R01-PastaSalad-226390-227040_3481.png,"(0.75, 0.70)"
OP03-R01-PastaSalad-227640-228530_3504.png,"(0.50, 0.60)"
OP03-R01-PastaSalad-231820-233070_3537.png,"(0.35, 0.60)"
OP03-R01-PastaSalad-236240-242970_3654.png,"(0.45, 0.60)"
OP03-R01-PastaSalad-246510-247110_3761.png,"(0.35, 0.65)"
OP03-R01-PastaSalad-247390-249730_3804.png,"(0.35, 0.60)"
OP03-R01-PastaSalad-250080-250640_3847.png,"(0.45, 0.60)"
OP03-R01-PastaSalad-250710-251830_3872.png,"(0.50, 0.60)"
OP03-R01-PastaSalad-253420-253950_3896.png,"(0.52, 0.60)"
OP03-R01-PastaSalad-255350-258390_3948.png,"(0.50, 0.40)"
OP03-R01-PastaSalad-259820-262120_4026.png,"(0.35, 0.42)"
OP03-R01-PastaSalad-262396-274522_4235.png,"(0.50, 0.60)"
OP03-R01-PastaSalad-274793-297093_4732.png,"(0.45, 0.55)"
OP03-R01-PastaSalad-300180-300900_5064.png,"(0.45, 0.75)"
OP03-R01-PastaSalad-300950-301530_5084.png,"(0.50, 0.60)"
OP03-R01-PastaSalad-302160-302920_5105.png,"(0.52, 0.60)"
OP03-R01-PastaSalad-304640-305260_5127.png,"(0.45, 0.60)"
OP03-R01-PastaSalad-306030-306660_5146.png,"(0.45, 0.65)"
OP03-R01-PastaSalad-307530-308080_5164.png,"(0.50, 0.45)"
OP03-R01-PastaSalad-308700-309420_5185.png,"(0.35, 0.45)"
