frame,gaze
OP03-R04-ContinentalBreakfast-103870-105654_1565.png,"(0.58, 0.24)"
OP03-R04-ContinentalBreakfast-110180-111760_1616.png,"(0.50, 0.60)"
OP03-R04-ContinentalBreakfast-111785-112969_1658.png,"(0.65, 0.45)"
OP03-R04-ContinentalBreakfast-113652-114536_1690.png,"(0.52, 0.30)"
OP03-R04-ContinentalBreakfast-114549-115835_1723.png,"(0.35, 0.65)"
OP03-R04-ContinentalBreakfast-117149-118099_1757.png,"(0.50, 0.65)"
OP03-R04-ContinentalBreakfast-118129-120115_1800.png,"(0.45, 0.50)"
OP03-R04-ContinentalBreakfast-123582-125055_1851.png,"(0.50, 0.60)"
OP03-R04-ContinentalBreakfast-126343-127623_1892.png,"(0.35, 0.45)"
OP03-R04-ContinentalBreakfast-129602-131298_1936.png,"(0.35, 0.25)"
OP03-R04-ContinentalBreakfast-131585-133815_1994.png,"(0.45, 0.35)"
OP03-R04-ContinentalBreakfast-133935-135455_2049.png,"(0.55, 0.50)"
OP03-R04-ContinentalBreakfast-135170-135896_2081.png,"(0.45, 0.50)"
OP03-R04-ContinentalBreakfast-135648-136607_2106.png,"(0.65, 0.45)"
OP03-R04-ContinentalBreakfast-144312-145732_2142.png,"(0.45, 0.50)"
OP03-R04-ContinentalBreakfast-145617-151607_2250.png,"(0.45, 0.55)"
OP03-R04-ContinentalBreakfast-151647-152247_2346.png,"(0.35, 0.45)"
OP03-R04-ContinentalBreakfast-152254-153626_2375.png,"(0.35, 0.65)"
OP03-R04-ContinentalBreakfast-153630-158597_2468.png,"(0.50, 0.40)"
OP03-R04-ContinentalBreakfast-159680-169224_2679.png,"(0.45, 0.60)"
OP03-R04-ContinentalBreakfast-170649-173294_2857.png,"(0.15, 0.60)"
OP03-R04-ContinentalBreakfast-173386-192226_3168.png,"(0.45, 0.55)"
OP03-R04-ContinentalBreakfast-192270-193110_3453.png,"(0.48, 0.60)"
