frame,gaze
OP03-R05-Cheeseburger-100465-103615_941.png,"(0.35, 0.60)"
OP03-R05-Cheeseburger-103675-105165_1008.png,"(0.45, 0.60)"
OP03-R05-Cheeseburger-106295-107745_1051.png,"(0.45, 0.55)"
OP03-R05-Cheeseburger-107745-108795_1088.png,"(0.35, 0.55)"
OP03-R05-Cheeseburger-108835-109955_1120.png,"(0.15, 0.30)"
OP03-R05-Cheeseburger-110300-112920_1174.png,"(0.50, 0.40)"
OP03-R05-Cheeseburger-112945-115645_1252.png,"(0.35, 0.55)"
OP03-R05-Cheeseburger-115910-117490_1316.png,"(0.52, 0.72)"
OP03-R05-Cheeseburger-118675-119565_1353.png,"(0.30, 0.65)"
OP03-R05-Cheeseburger-120705-121595_1381.png,"(0.58, 0.47)"
OP03-R05-Cheeseburger-121195-122665_1416.png,"(0.65, 0.60)"
OP03-R05-Cheeseburger-122825-125525_1477.png,"(0.45, 0.60)"
OP03-R05-Cheeseburger-125920-126610_1527.png,"(0.45, 0.60)"
OP03-R05-Cheeseburger-126600-127320_1547.png,"(0.45, 0.65)"
OP03-R05-Cheeseburger-127405-129805_1594.png,"(0.35, 0.45)"
OP03-R05-Cheeseburger-132840-134040_1648.png,"(0.45, 0.45)"
OP03-R05-Cheeseburger-134815-137105_1699.png,"(0.45, 0.50)"
OP03-R05-Cheeseburger-138465-141135_1772.png,"(0.50, 0.60)"
OP03-R05-Cheeseburger-143805-144665_1824.png,"(0.25, 0.65)"
OP03-R05-Cheeseburger-144910-146730_1864.png,"(0.45, 0.60)"
OP03-R05-Cheeseburger-146785-147285_1899.png,"(0.35, 0.45)"
OP03-R05-Cheeseburger-147460-148750_1926.png,"(0.70, 0.25)"
OP03-R05-Cheeseburger-151180-152060_1958.png,"(0.35, 0.45)"
OP03-R05-Cheeseburger-164770-165550_1984.png,"(0.65, 0.70)"
OP03-R05-Cheeseburger-165565-167065_2019.png,"(0.45, 0.65)"
OP03-R05-Cheeseburger-167140-168370_2059.png,"(0.65, 0.75)"
OP03-R05-Cheeseburger-190750-192190_2099.png,"(0.45, 0.60)"
OP03-R05-Cheeseburger-192225-193895_2145.png,"(0.65, 0.70)"
OP03-R05-Cheeseburger-193915-195665_2196.png,"(0.45, 0.60)"
OP03-R05-Cheeseburger-212045-212555_2230.png,"(0.45, 0.60)"
OP03-R05-Cheeseburger-212595-215175_2276.png,"(0.50, 0.60)"
OP03-R05-Cheeseburger-232950-234040_2330.png,"(0.50, 0.60)"
OP03-R05-Cheeseburger-234050-236060_2376.png,"(0.50, 0.60)"
OP03-R05-Cheeseburger-236780-238170_2427.png,"(0.60, 0.50)"
OP03-R05-Cheeseburger-239130-245140_2535.png,"(0.50, 0.45)"
OP03-R05-Cheeseburger-292130-293150_2637.png,"(0.45, 0.45)"
OP03-R05-Cheeseburger-293525-315065_2962.png,"(0.35, 0.48)"
OP03-R05-Cheeseburger-315840-317920_3304.png,"(0.35, 0.60)"
OP03-R05-Cheeseburger-320830-322510_3360.png,"(0.45, 0.60)"
OP03-R05-Cheeseburger-322565-323645_3402.png,"(0.48, 0.60)"
OP03-R05-Cheeseburger-323660-324860_3436.png,"(0.45, 0.60)"
OP03-R05-Cheeseburger-343315-350375_3557.png,"(0.50, 0.50)"
OP03-R05-Cheeseburger-350610-352400_3686.png,"(0.15, 0.60)"
OP03-R05-Cheeseburger-377140-401130_4059.png,"(0.45, 0.55)"
OP03-R05-Cheeseburger-401830-407380_4486.png,"(0.45, 0.55)"
OP03-R05-Cheeseburger-435450-438080_4605.png,"(0.45, 0.50)"
OP03-R05-Cheeseburger-438530-449890_4808.png,"(0.45, 0.55)"
OP03-R05-Cheeseburger-450695-452035_4993.png,"(0.75, 0.65)"
OP03-R05-Cheeseburger-454090-456170_5044.png,"(0.35, 0.45)"
OP03-R05-Cheeseburger-456245-458625_5109.png,"(0.65, 0.35)"
OP03-R05-Cheeseburger-458880-460400_5166.png,"(0.75, 0.70)"
OP03-R05-Cheeseburger-463385-474555_5350.png,"(0.45, 0.75)"
OP03-R05-Cheeseburger-474655-477475_5554.png,"(0.50, 0.85)"
OP03-R05-Cheeseburger-482640-483660_5611.png,"(0.45, 0.50)"
OP03-R05-Cheeseburger-483935-501235_5875.png,"(0.50, 0.50)"
OP03-R05-Cheeseburger-503920-511470_6234.png,"(0.45, 0.65)"
OP03-R05-Cheeseburger-51140-53380_33.png,"(0.45, 0.35)"
OP03-R05-Cheeseburger-514510-515640_6360.png,"(0.85, 0.70)"
OP03-R05-Cheeseburger-515680-518340_6416.png,"(0.45, 0.65)"
OP03-R05-Cheeseburger-519175-520965_6481.png,"(0.50, 0.50)"
OP03-R05-Cheeseburger-524165-525195_6523.png,"(0.45, 0.50)"
OP03-R05-Cheeseburger-525375-530245_6609.png,"(0.45, 0.55)"
OP03-R05-Cheeseburger-535565-536845_6698.png,"(0.65, 0.75)"
OP03-R05-Cheeseburger-53905-56065_98.png,"(0.45, 0.38)"
OP03-R05-Cheeseburger-540225-541325_6734.png,"(0.55, 0.45)"
OP03-R05-Cheeseburger-541340-543540_6782.png,"(0.45, 0.50)"
OP03-R05-Cheeseburger-553455-554495_6829.png,"(0.35, 0.55)"
OP03-R05-Cheeseburger-556580-569730_7035.png,"(0.35, 0.45)"
OP03-R05-Cheeseburger-571075-572875_7251.png,"(0.65, 0.70)"
OP03-R05-Cheeseburger-57285-58645_150.png,"(0.55, 0.30)"
OP03-R05-Cheeseburger-575350-578080_7317.png,"(0.45, 0.60)"
OP03-R05-Cheeseburger-580350-581600_7376.png,"(0.75, 0.45)"
OP03-R05-Cheeseburger-581720-582640_7409.png,"(0.25, 0.30)"
OP03-R05-Cheeseburger-582640-583740_7439.png,"(0.50, 0.70)"
OP03-R05-Cheeseburger-585055-589145_7515.png,"(0.50, 0.45)"
OP03-R05-Cheeseburger-589405-590855_7596.png,"(0.50, 0.40)"
OP03-R05-Cheeseburger-592685-594165_7639.png,"(0.15, 0.65)"
OP03-R05-Cheeseburger-596350-598580_7693.png,"(0.50, 0.20)"
OP03-R05-Cheeseburger-598800-601320_7763.png,"(0.50, 0.40)"
OP03-R05-Cheeseburger-60060-61560_193.png,"(0.45, 0.35)"
OP03-R05-Cheeseburger-603195-604025_7813.png,"(0.40, 0.50)"
OP03-R05-Cheeseburger-604910-606360_7847.png,"(0.45, 0.60)"
OP03-R05-Cheeseburger-607170-607890_7879.png,"(0.50, 0.60)"
OP03-R05-Cheeseburger-608125-609745_7914.png,"(0.45, 0.50)"
OP03-R05-Cheeseburger-613450-614110_7948.png,"(0.25, 0.50)"
OP03-R05-Cheeseburger-614530-615850_7978.png,"(0.52, 0.60)"
OP03-R05-Cheeseburger-616665-617565_8012.png,"(0.45, 0.50)"
OP03-R05-Cheeseburger-618160-622930_8095.png,"(0.50, 0.60)"
OP03-R05-Cheeseburger-623850-632440_8289.png,"(0.45, 0.60)"
OP03-R05-Cheeseburger-632990-633780_8425.png,"(0.45, 0.60)"
OP03-R05-Cheeseburger-634170-636850_8477.png,"(0.50, 0.45)"
OP03-R05-Cheeseburger-64685-65555_228.png,"(0.50, 0.60)"
OP03-R05-Cheeseburger-646940-648020_8532.png,"(0.35, 0.60)"
OP03-R05-Cheeseburger-648095-650145_8578.png,"(0.45, 0.68)"
OP03-R05-Cheeseburger-650335-657775_8717.png,"(0.52, 0.60)"
OP03-R05-Cheeseburger-65755-68385_280.png,"(0.50, 0.45)"
OP03-R05-Cheeseburger-657810-660390_8863.png,"(0.45, 0.55)"
OP03-R05-Cheeseburger-659190-659980_8913.png,"(0.35, 0.45)"
OP03-R05-Cheeseburger-661065-664250_8972.png,"(0.45, 0.60)"
OP03-R05-Cheeseburger-665210-668480_9066.png,"(0.50, 0.70)"
OP03-R05-Cheeseburger-668530-671500_9157.png,"(0.50, 0.60)"
OP03-R05-Cheeseburger-672805-673525_9211.png,"(0.45, 0.60)"
OP03-R05-Cheeseburger-672910-673490_9231.png,"(0.42, 0.58)"
OP03-R05-Cheeseburger-678690-685270_9336.png,"(0.45, 0.60)"
OP03-R05-Cheeseburger-685445-688535_9477.png,"(0.25, 0.60)"
OP03-R05-Cheeseburger-690515-691145_9531.png,"(0.45, 0.60)"
OP03-R05-Cheeseburger-691235-694365_9586.png,"(0.42, 0.65)"
OP03-R05-Cheeseburger-695965-706865_9789.png,"(0.45, 0.55)"
OP03-R05-Cheeseburger-69910-70610_329.png,"(0.45, 0.75)"
OP03-R05-Cheeseburger-709140-710330_9965.png,"(0.58, 0.65)"
OP03-R05-Cheeseburger-70945-71655_350.png,"(0.50, 0.60)"
OP03-R05-Cheeseburger-710670-715720_10056.png,"(0.35, 0.55)"
OP03-R05-Cheeseburger-715850-716600_10142.png,"(0.25, 0.65)"
OP03-R05-Cheeseburger-717390-719200_10180.png,"(0.35, 0.45)"
OP03-R05-Cheeseburger-719600-721400_10233.png,"(0.45, 0.60)"
OP03-R05-Cheeseburger-721395-722305_10274.png,"(0.50, 0.60)"
OP03-R05-Cheeseburger-722865-732405_10426.png,"(0.35, 0.60)"
OP03-R05-Cheeseburger-72650-73350_371.png,"(0.35, 0.60)"
OP03-R05-Cheeseburger-733830-737540_10619.png,"(0.65, 0.45)"
OP03-R05-Cheeseburger-73395-74105_392.png,"(0.15, 0.60)"
OP03-R05-Cheeseburger-737015-738855_10701.png,"(0.45, 0.30)"
OP03-R05-Cheeseburger-739640-741080_10749.png,"(0.45, 0.30)"
OP03-R05-Cheeseburger-741805-743955_10801.png,"(0.35, 0.40)"
OP03-R05-Cheeseburger-746945-748905_10861.png,"(0.35, 0.48)"
OP03-R05-Cheeseburger-749140-750380_10909.png,"(0.35, 0.45)"
OP03-R05-Cheeseburger-75020-75910_416.png,"(0.45, 0.65)"
OP03-R05-Cheeseburger-750335-751795_10949.png,"(0.52, 0.48)"
OP03-R05-Cheeseburger-751780-752290_10979.png,"(0.58, 0.62)"
OP03-R05-Cheeseburger-752480-753130_10997.png,"(0.45, 0.50)"
OP03-R05-Cheeseburger-754210-760840_11103.png,"(0.52, 0.40)"
OP03-R05-Cheeseburger-761190-762010_11213.png,"(0.25, 0.30)"
OP03-R05-Cheeseburger-762095-762635_11234.png,"(0.35, 0.65)"
OP03-R05-Cheeseburger-762980-764340_11263.png,"(0.35, 0.45)"
OP03-R05-Cheeseburger-766745-773265_11378.png,"(0.75, 0.30)"
OP03-R05-Cheeseburger-773330-773930_11482.png,"(0.45, 0.65)"
OP03-R05-Cheeseburger-774730-777310_11530.png,"(0.45, 0.60)"
OP03-R05-Cheeseburger-777405-778785_11588.png,"(0.45, 0.50)"
