frame,gaze
OP03-R07-Pizza-102453-104235_1378.png,"(0.50, 0.60)"
OP03-R07-Pizza-104850-108896_1463.png,"(0.35, 0.45)"
OP03-R07-Pizza-109585-111518_1550.png,"(0.60, 0.20)"
OP03-R07-Pizza-111566-113399_1605.png,"(0.50, 0.45)"
OP03-R07-Pizza-113557-115243_1657.png,"(0.35, 0.55)"
OP03-R07-Pizza-117443-118419_1697.png,"(0.45, 0.60)"
OP03-R07-Pizza-118369-121639_1760.png,"(0.45, 0.50)"
OP03-R07-Pizza-121699-124509_1851.png,"(0.35, 0.65)"
OP03-R07-Pizza-126640-154972_2302.png,"(0.38, 0.52)"
OP03-R07-Pizza-157125-158110_2725.png,"(0.45, 0.50)"
OP03-R07-Pizza-163731-168097_2803.png,"(0.50, 0.45)"
OP03-R07-Pizza-168916-172569_2921.png,"(0.45, 0.38)"
OP03-R07-Pizza-172447-173709_2994.png,"(0.45, 0.35)"
OP03-R07-Pizza-173663-174565_3028.png,"(0.50, 0.40)"
OP03-R07-Pizza-175700-184600_3171.png,"(0.45, 0.50)"
OP03-R07-Pizza-186350-202050_3526.png,"(0.45, 0.50)"
OP03-R07-Pizza-203500-220700_4001.png,"(0.45, 0.60)"
OP03-R07-Pizza-223400-254800_4702.png,"(0.45, 0.60)"
OP03-R07-Pizza-256340-257520_5173.png,"(0.45, 0.60)"
OP03-R07-Pizza-258873-260951_5222.png,"(0.75, 0.60)"
OP03-R07-Pizza-260987-263390_5289.png,"(0.25, 0.30)"
OP03-R07-Pizza-264053-265314_5344.png,"(0.45, 0.60)"
OP03-R07-Pizza-266392-267519_5379.png,"(0.58, 0.45)"
OP03-R07-Pizza-269111-270298_5414.png,"(0.15, 0.65)"
OP03-R07-Pizza-274109-275864_5459.png,"(0.35, 0.45)"
OP03-R07-Pizza-275581-276634_5501.png,"(0.35, 0.60)"
OP03-R07-Pizza-276482-277889_5538.png,"(0.65, 0.45)"
OP03-R07-Pizza-279391-280379_5574.png,"(0.35, 0.60)"
OP03-R07-Pizza-281140-282416_5608.png,"(0.50, 0.60)"
OP03-R07-Pizza-282302-283268_5641.png,"(0.25, 0.45)"
OP03-R07-Pizza-285110-286090_5671.png,"(0.35, 0.42)"
OP03-R07-Pizza-287314-292088_5755.png,"(0.50, 0.45)"
OP03-R07-Pizza-294716-295722_5840.png,"(0.50, 0.60)"
OP03-R07-Pizza-295784-298071_5888.png,"(0.45, 0.65)"
OP03-R07-Pizza-298959-302037_5966.png,"(0.35, 0.70)"
OP03-R07-Pizza-29955-30875_14.png,"(0.50, 0.60)"
OP03-R07-Pizza-302113-303791_6036.png,"(0.45, 0.50)"
OP03-R07-Pizza-304107-304921_6074.png,"(0.45, 0.60)"
OP03-R07-Pizza-305259-307130_6114.png,"(0.45, 0.60)"
OP03-R07-Pizza-307829-308509_6152.png,"(0.35, 0.45)"
OP03-R07-Pizza-308555-309851_6182.png,"(0.45, 0.50)"
OP03-R07-Pizza-30890-31918_43.png,"(0.25, 0.60)"
OP03-R07-Pizza-310371-311377_6217.png,"(0.45, 0.55)"
OP03-R07-Pizza-311210-313112_6260.png,"(0.45, 0.50)"
OP03-R07-Pizza-313761-314620_6301.png,"(0.50, 0.75)"
OP03-R07-Pizza-316095-317733_6338.png,"(0.55, 0.60)"
OP03-R07-Pizza-32199-33536_79.png,"(0.35, 0.42)"
OP03-R07-Pizza-33912-36004_130.png,"(0.45, 0.60)"
OP03-R07-Pizza-340334-343156_6403.png,"(0.45, 0.55)"
OP03-R07-Pizza-343360-351220_6558.png,"(0.45, 0.55)"
OP03-R07-Pizza-351295-352348_6688.png,"(0.65, 0.75)"
OP03-R07-Pizza-353936-358861_6776.png,"(0.50, 0.60)"
OP03-R07-Pizza-359941-361147_6866.png,"(0.45, 0.65)"
OP03-R07-Pizza-362039-363935_6913.png,"(0.45, 0.55)"
