frame,gaze
OP04-R03-BaconAndEggs-103598-105503_1144.png,"(0.52, 0.60)"
OP04-R03-BaconAndEggs-105355-109441_1232.png,"(0.50, 0.60)"
OP04-R03-BaconAndEggs-109687-110371_1302.png,"(0.50, 0.40)"
OP04-R03-BaconAndEggs-112736-114674_1340.png,"(0.25, 0.45)"
OP04-R03-BaconAndEggs-131111-132330_1387.png,"(0.50, 0.40)"
OP04-R03-BaconAndEggs-132418-134343_1434.png,"(0.45, 0.30)"
OP04-R03-BaconAndEggs-135856-136717_1475.png,"(0.50, 0.40)"
OP04-R03-BaconAndEggs-136741-139029_1522.png,"(0.45, 0.20)"
OP04-R03-BaconAndEggs-138560-139267_1566.png,"(0.45, 0.45)"
OP04-R03-BaconAndEggs-139532-140834_1597.png,"(0.45, 0.50)"
OP04-R03-BaconAndEggs-147643-148197_1625.png,"(0.65, 0.70)"
OP04-R03-BaconAndEggs-148507-149283_1646.png,"(0.58, 0.47)"
OP04-R03-BaconAndEggs-148857-149659_1670.png,"(0.52, 0.48)"
OP04-R03-BaconAndEggs-149280-151190_1711.png,"(0.50, 0.30)"
OP04-R03-BaconAndEggs-152150-153309_1757.png,"(0.25, 0.40)"
OP04-R03-BaconAndEggs-153154-154554_1796.png,"(0.50, 0.35)"
OP04-R03-BaconAndEggs-157139-176489_2096.png,"(0.50, 0.50)"
OP04-R03-BaconAndEggs-176820-178496_2400.png,"(0.50, 0.40)"
OP04-R03-BaconAndEggs-182203-189383_2529.png,"(0.32, 0.60)"
OP04-R03-BaconAndEggs-191430-201260_2776.png,"(0.50, 0.40)"
OP04-R03-BaconAndEggs-201380-202110_2928.png,"(0.35, 0.65)"
OP04-R03-BaconAndEggs-202790-207420_3007.png,"(0.50, 0.60)"
OP04-R03-BaconAndEggs-207620-208950_3095.png,"(0.45, 0.65)"
OP04-R03-BaconAndEggs-209190-210170_3130.png,"(0.35, 0.70)"
OP04-R03-BaconAndEggs-211066-212378_3165.png,"(0.45, 0.60)"
OP04-R03-BaconAndEggs-212588-213867_3204.png,"(0.45, 0.50)"
OP04-R03-BaconAndEggs-213932-218112_3284.png,"(0.50, 0.40)"
OP04-R03-BaconAndEggs-218227-218750_3353.png,"(0.45, 0.60)"
OP04-R03-BaconAndEggs-220080-231478_3526.png,"(0.50, 0.40)"
OP04-R03-BaconAndEggs-231494-232564_3707.png,"(0.50, 0.45)"
OP04-R03-BaconAndEggs-232564-233555_3738.png,"(0.50, 0.50)"
OP04-R03-BaconAndEggs-235184-237894_3792.png,"(0.50, 0.35)"
OP04-R03-BaconAndEggs-241870-243366_3854.png,"(0.62, 0.45)"
OP04-R03-BaconAndEggs-244583-247823_3924.png,"(0.45, 0.60)"
OP04-R03-BaconAndEggs-248018-250158_4003.png,"(0.45, 0.45)"
OP04-R03-BaconAndEggs-250473-254353_4091.png,"(0.52, 0.50)"
OP04-R03-BaconAndEggs-254328-256438_4179.png,"(0.50, 0.35)"
OP04-R03-BaconAndEggs-259120-261270_4243.png,"(0.45, 0.60)"
OP04-R03-BaconAndEggs-262121-262951_4288.png,"(0.45, 0.60)"
OP04-R03-BaconAndEggs-294327-308087_4500.png,"(0.45, 0.65)"
OP04-R03-BaconAndEggs-308930-309883_4714.png,"(0.54, 0.52)"
OP04-R03-BaconAndEggs-333771-335198_4750.png,"(0.85, 0.70)"
OP04-R03-BaconAndEggs-335439-336609_4789.png,"(0.75, 0.45)"
OP04-R03-BaconAndEggs-342783-344258_4829.png,"(0.50, 0.50)"
OP04-R03-BaconAndEggs-345031-377331_5316.png,"(0.45, 0.50)"
OP04-R03-BaconAndEggs-377100-378400_5801.png,"(0.45, 0.50)"
OP04-R03-BaconAndEggs-378281-443281_6758.png,"(0.45, 0.50)"
OP04-R03-BaconAndEggs-443650-444402_7707.png,"(0.35, 0.80)"
OP04-R03-BaconAndEggs-445571-447011_7740.png,"(0.35, 0.80)"
OP04-R03-BaconAndEggs-448290-455975_7873.png,"(0.50, 0.40)"
OP04-R03-BaconAndEggs-458387-459462_8001.png,"(0.45, 0.50)"
OP04-R03-BaconAndEggs-462679-465769_8062.png,"(0.45, 0.50)"
OP04-R03-BaconAndEggs-466249-467769_8129.png,"(0.50, 0.60)"
OP04-R03-BaconAndEggs-471560-473220_8177.png,"(0.45, 0.48)"
OP04-R03-BaconAndEggs-473725-474815_8218.png,"(0.45, 0.50)"
OP04-R03-BaconAndEggs-474855-475598_8246.png,"(0.75, 0.45)"
OP04-R03-BaconAndEggs-475651-477591_8286.png,"(0.65, 0.45)"
OP04-R03-BaconAndEggs-480090-484396_8377.png,"(0.50, 0.40)"
OP04-R03-BaconAndEggs-484558-485298_8452.png,"(0.45, 0.60)"
OP04-R03-BaconAndEggs-488643-489933_8483.png,"(0.65, 0.55)"
OP04-R03-BaconAndEggs-494140-496206_8533.png,"(0.50, 0.45)"
OP04-R03-BaconAndEggs-495888-498403_8601.png,"(0.35, 0.45)"
OP04-R03-BaconAndEggs-503760-506290_8675.png,"(0.50, 0.50)"
OP04-R03-BaconAndEggs-506650-507320_8722.png,"(0.35, 0.60)"
OP04-R03-BaconAndEggs-510181-516796_8828.png,"(0.50, 0.50)"
OP04-R03-BaconAndEggs-518440-519712_8944.png,"(0.45, 0.60)"
OP04-R03-BaconAndEggs-519071-521631_9002.png,"(0.45, 0.50)"
OP04-R03-BaconAndEggs-527570-528450_9053.png,"(0.45, 0.60)"
OP04-R03-BaconAndEggs-535602-536841_9086.png,"(0.45, 0.50)"
OP04-R03-BaconAndEggs-542347-543927_9129.png,"(0.15, 0.30)"
OP04-R03-BaconAndEggs-544112-546892_9193.png,"(0.35, 0.60)"
OP04-R03-BaconAndEggs-547157-549767_9272.png,"(0.45, 0.60)"
OP04-R03-BaconAndEggs-550107-554070_9368.png,"(0.35, 0.60)"
OP04-R03-BaconAndEggs-554107-555895_9452.png,"(0.75, 0.25)"
OP04-R03-BaconAndEggs-56090-57601_22.png,"(0.45, 0.38)"
OP04-R03-BaconAndEggs-565916-569854_9536.png,"(0.75, 0.45)"
OP04-R03-BaconAndEggs-573950-576040_9625.png,"(0.52, 0.60)"
OP04-R03-BaconAndEggs-57962-61534_95.png,"(0.50, 0.30)"
OP04-R03-BaconAndEggs-582750-608550_10028.png,"(0.45, 0.50)"
OP04-R03-BaconAndEggs-608720-616040_10506.png,"(0.45, 0.60)"
