frame,gaze
OP06-R06-GreekSalad-101595-121135_1318.png,"(0.52, 0.68)"
OP06-R06-GreekSalad-127300-128890_1625.png,"(0.45, 0.65)"
OP06-R06-GreekSalad-134350-136090_1675.png,"(0.25, 0.70)"
OP06-R06-GreekSalad-136100-137200_1717.png,"(0.45, 0.60)"
OP06-R06-GreekSalad-139700-140770_1749.png,"(0.85, 0.75)"
OP06-R06-GreekSalad-140785-161465_2063.png,"(0.45, 0.75)"
OP06-R06-GreekSalad-161480-162700_2380.png,"(0.45, 0.75)"
OP06-R06-GreekSalad-167720-168430_2409.png,"(0.45, 0.75)"
OP06-R06-GreekSalad-170355-179145_2547.png,"(0.45, 0.65)"
OP06-R06-GreekSalad-179370-180410_2690.png,"(0.58, 0.62)"
OP06-R06-GreekSalad-181370-208350_3096.png,"(0.35, 0.75)"
OP06-R06-GreekSalad-208680-209670_3501.png,"(0.35, 0.80)"
OP06-R06-GreekSalad-213965-229415_3739.png,"(0.45, 0.60)"
OP06-R06-GreekSalad-229500-230260_3974.png,"(0.15, 0.70)"
OP06-R06-GreekSalad-233190-244170_4145.png,"(0.45, 0.65)"
OP06-R06-GreekSalad-244550-245510_4318.png,"(0.35, 0.65)"
OP06-R06-GreekSalad-246930-264110_4581.png,"(0.45, 0.65)"
OP06-R06-GreekSalad-264310-265010_4839.png,"(0.58, 0.79)"
OP06-R06-GreekSalad-265600-269050_4900.png,"(0.35, 0.75)"
OP06-R06-GreekSalad-27140-28860_25.png,"(0.45, 0.85)"
OP06-R06-GreekSalad-271865-272465_4960.png,"(0.25, 0.75)"
OP06-R06-GreekSalad-274110-289850_5198.png,"(0.45, 0.65)"
OP06-R06-GreekSalad-296070-297720_5451.png,"(0.50, 0.50)"
OP06-R06-GreekSalad-298475-300565_5507.png,"(0.75, 0.45)"
OP06-R06-GreekSalad-301200-305080_5594.png,"(0.45, 0.60)"
OP06-R06-GreekSalad-306600-307260_5661.png,"(0.45, 0.65)"
OP06-R06-GreekSalad-307300-310050_5711.png,"(0.45, 0.85)"
OP06-R06-GreekSalad-310955-311995_5766.png,"(0.75, 0.65)"
OP06-R06-GreekSalad-312075-319350_5887.png,"(0.45, 0.70)"
OP06-R06-GreekSalad-319360-343000_6333.png,"(0.45, 0.65)"
OP06-R06-GreekSalad-343080-344130_6690.png,"(0.58, 0.47)"
OP06-R06-GreekSalad-345195-349715_6772.png,"(0.35, 0.65)"
OP06-R06-GreekSalad-351575-353195_6863.png,"(0.48, 0.50)"
OP06-R06-GreekSalad-353985-355495_6910.png,"(0.65, 0.45)"
OP06-R06-GreekSalad-355450-356680_6951.png,"(0.50, 0.40)"
OP06-R06-GreekSalad-358145-359805_6995.png,"(0.50, 0.45)"
OP06-R06-GreekSalad-360795-362135_7040.png,"(0.65, 0.60)"
OP06-R06-GreekSalad-363065-364825_7086.png,"(0.55, 0.60)"
OP06-R06-GreekSalad-366325-368425_7143.png,"(0.50, 0.60)"
OP06-R06-GreekSalad-371165-374725_7227.png,"(0.65, 0.35)"
OP06-R06-GreekSalad-37148-37918_63.png,"(0.75, 0.60)"
OP06-R06-GreekSalad-375445-376785_7299.png,"(0.65, 0.75)"
OP06-R06-GreekSalad-377300-378690_7339.png,"(0.25, 0.60)"
OP06-R06-GreekSalad-378765-379935_7378.png,"(0.45, 0.75)"
OP06-R06-GreekSalad-380180-382230_7426.png,"(0.65, 0.70)"
OP06-R06-GreekSalad-382695-383405_7467.png,"(0.35, 0.65)"
OP06-R06-GreekSalad-385060-387480_7514.png,"(0.38, 0.75)"
OP06-R06-GreekSalad-387740-390030_7583.png,"(0.25, 0.60)"
OP06-R06-GreekSalad-390150-393290_7662.png,"(0.25, 0.75)"
OP06-R06-GreekSalad-398380-399850_7729.png,"(0.35, 0.65)"
OP06-R06-GreekSalad-400355-403315_7794.png,"(0.35, 0.75)"
OP06-R06-GreekSalad-403365-408295_7910.png,"(0.50, 0.65)"
OP06-R06-GreekSalad-408330-411835_8034.png,"(0.50, 0.60)"
OP06-R06-GreekSalad-411902-413022_8102.png,"(0.50, 0.25)"
OP06-R06-GreekSalad-413242-413942_8129.png,"(0.35, 0.75)"
OP06-R06-GreekSalad-414052-430652_8380.png,"(0.45, 0.65)"
OP06-R06-GreekSalad-430670-431250_8628.png,"(0.65, 0.70)"
OP06-R06-GreekSalad-432080-433030_8651.png,"(0.35, 0.45)"
OP06-R06-GreekSalad-433565-435575_8696.png,"(0.85, 0.70)"
OP06-R06-GreekSalad-436590-438900_8759.png,"(0.65, 0.70)"
OP06-R06-GreekSalad-442145-443845_8818.png,"(0.45, 0.65)"
OP06-R06-GreekSalad-445115-447375_8877.png,"(0.35, 0.65)"
OP06-R06-GreekSalad-447425-449955_8947.png,"(0.50, 0.40)"
OP06-R06-GreekSalad-451220-452340_9000.png,"(0.65, 0.75)"
