frame,gaze
P02-R03-BaconAndEggs-1003769-1005013_16059.png,"(0.65, 0.54)"
P02-R03-BaconAndEggs-1011215-1033810_16404.png,"(0.50, 0.40)"
P02-R03-BaconAndEggs-1034972-1035783_16742.png,"(0.25, 0.40)"
P02-R03-BaconAndEggs-1036526-1038147_16779.png,"(0.65, 0.55)"
P02-R03-BaconAndEggs-1051606-1063579_16976.png,"(0.50, 0.35)"
P02-R03-BaconAndEggs-1064606-1066146_17171.png,"(0.50, 0.45)"
P02-R03-BaconAndEggs-1067579-1068552_17209.png,"(0.50, 0.45)"
P02-R03-BaconAndEggs-1071835-1077511_17306.png,"(0.45, 0.35)"
P02-R03-BaconAndEggs-1082470-1083957_17409.png,"(0.45, 0.60)"
P02-R03-BaconAndEggs-1085227-1086497_17450.png,"(0.50, 0.60)"
P02-R03-BaconAndEggs-1088605-1089605_17484.png,"(0.58, 0.62)"
P02-R03-BaconAndEggs-1089632-1090713_17515.png,"(0.65, 0.45)"
P02-R03-BaconAndEggs-109066-115471_629.png,"(0.45, 0.60)"
P02-R03-BaconAndEggs-1091969-1096240_17593.png,"(0.55, 0.45)"
P02-R03-BaconAndEggs-1101334-1102388_17670.png,"(0.35, 0.50)"
P02-R03-BaconAndEggs-1103956-1104983_17701.png,"(0.45, 0.50)"
P02-R03-BaconAndEggs-1105023-1112185_17821.png,"(0.45, 0.45)"
P02-R03-BaconAndEggs-1112239-1114996_17965.png,"(0.45, 0.45)"
P02-R03-BaconAndEggs-1116090-1116712_18014.png,"(0.45, 0.60)"
P02-R03-BaconAndEggs-1118847-1119360_18032.png,"(0.45, 0.45)"
P02-R03-BaconAndEggs-1121117-1126225_18114.png,"(0.50, 0.60)"
P02-R03-BaconAndEggs-1127036-1136630_18328.png,"(0.45, 0.48)"
P02-R03-BaconAndEggs-1137847-1141684_18524.png,"(0.50, 0.40)"
P02-R03-BaconAndEggs-1142697-1143589_18594.png,"(0.45, 0.65)"
P02-R03-BaconAndEggs-1144778-1145751_18623.png,"(0.35, 0.45)"
P02-R03-BaconAndEggs-1147115-1148386_18657.png,"(0.50, 0.40)"
P02-R03-BaconAndEggs-1155507-1156939_18698.png,"(0.58, 0.72)"
P02-R03-BaconAndEggs-1158912-1159831_18733.png,"(0.45, 0.60)"
P02-R03-BaconAndEggs-1159871-1166925_18850.png,"(0.52, 0.45)"
P02-R03-BaconAndEggs-116552-117254_732.png,"(0.65, 0.45)"
P02-R03-BaconAndEggs-1167006-1169222_18985.png,"(0.50, 0.45)"
P02-R03-BaconAndEggs-1169317-1173425_19078.png,"(0.45, 0.65)"
P02-R03-BaconAndEggs-1173466-1180303_19238.png,"(0.35, 0.45)"
P02-R03-BaconAndEggs-1180303-1183033_19376.png,"(0.50, 0.45)"
P02-R03-BaconAndEggs-1183087-1187114_19474.png,"(0.45, 0.35)"
P02-R03-BaconAndEggs-118322-119376_759.png,"(0.50, 0.45)"
P02-R03-BaconAndEggs-1187195-1190627_19582.png,"(0.45, 0.60)"
P02-R03-BaconAndEggs-1190654-1197060_19726.png,"(0.45, 0.35)"
P02-R03-BaconAndEggs-1197087-1199276_19851.png,"(0.45, 0.65)"
P02-R03-BaconAndEggs-1199330-1204384_19957.png,"(0.45, 0.60)"
P02-R03-BaconAndEggs-1204438-1206195_20057.png,"(0.45, 0.65)"
P02-R03-BaconAndEggs-1206248-1207221_20098.png,"(0.35, 0.60)"
P02-R03-BaconAndEggs-1207315-1209883_20151.png,"(0.35, 0.45)"
P02-R03-BaconAndEggs-1213531-1215126_20213.png,"(0.45, 0.60)"
P02-R03-BaconAndEggs-1215179-1216531_20258.png,"(0.45, 0.60)"
P02-R03-BaconAndEggs-1221436-1222463_20293.png,"(0.62, 0.30)"
P02-R03-BaconAndEggs-1222530-1224368_20336.png,"(0.60, 0.15)"
P02-R03-BaconAndEggs-123160-124619_796.png,"(0.45, 0.60)"
P02-R03-BaconAndEggs-1232652-1238165_20443.png,"(0.45, 0.45)"
P02-R03-BaconAndEggs-1238205-1243286_20597.png,"(0.35, 0.45)"
P02-R03-BaconAndEggs-1243326-1247759_20735.png,"(0.50, 0.45)"
P02-R03-BaconAndEggs-124659-125254_827.png,"(0.45, 0.35)"
P02-R03-BaconAndEggs-1247799-1251069_20848.png,"(0.45, 0.45)"
P02-R03-BaconAndEggs-1251366-1253583_20928.png,"(0.45, 0.50)"
P02-R03-BaconAndEggs-1253596-1254893_20980.png,"(0.35, 0.60)"
P02-R03-BaconAndEggs-1254933-1255933_21015.png,"(0.65, 0.45)"
P02-R03-BaconAndEggs-1255987-1258663_21069.png,"(0.45, 0.45)"
P02-R03-BaconAndEggs-1258717-1260825_21139.png,"(0.35, 0.45)"
P02-R03-BaconAndEggs-126037-127577_859.png,"(0.35, 0.45)"
P02-R03-BaconAndEggs-1260893-1263649_21210.png,"(0.50, 0.45)"
P02-R03-BaconAndEggs-1263663-1271420_21362.png,"(0.35, 0.45)"
