frame,gaze
P02-R05-Cheeseburger-1002090-1006850_22516.png,"(0.35, 0.65)"
P02-R05-Cheeseburger-1006875-1010015_22630.png,"(0.50, 0.60)"
P02-R05-Cheeseburger-1013445-1016065_22714.png,"(0.45, 0.45)"
P02-R05-Cheeseburger-102875-104805_1044.png,"(0.45, 0.50)"
P02-R05-Cheeseburger-105505-107305_1098.png,"(0.45, 0.65)"
P02-R05-Cheeseburger-1056910-1058850_22781.png,"(0.50, 0.50)"
P02-R05-Cheeseburger-1063210-1065530_22843.png,"(0.50, 0.50)"
P02-R05-Cheeseburger-107300-109850_1162.png,"(0.50, 0.75)"
P02-R05-Cheeseburger-1083300-1085430_22908.png,"(0.50, 0.50)"
P02-R05-Cheeseburger-113770-119180_1279.png,"(0.58, 0.62)"
P02-R05-Cheeseburger-119200-122530_1407.png,"(0.45, 0.75)"
P02-R05-Cheeseburger-122510-124550_1486.png,"(0.45, 0.60)"
P02-R05-Cheeseburger-124565-126285_1542.png,"(0.75, 0.80)"
P02-R05-Cheeseburger-129155-130915_1594.png,"(0.50, 0.60)"
P02-R05-Cheeseburger-131730-135170_1670.png,"(0.50, 0.60)"
P02-R05-Cheeseburger-139790-140580_1733.png,"(0.65, 0.58)"
P02-R05-Cheeseburger-142160-148000_1831.png,"(0.35, 0.45)"
P02-R05-Cheeseburger-150135-152265_1947.png,"(0.25, 0.80)"
P02-R05-Cheeseburger-152275-154385_2010.png,"(0.45, 0.35)"
P02-R05-Cheeseburger-154445-157315_2084.png,"(0.65, 0.75)"
P02-R05-Cheeseburger-157395-160855_2177.png,"(0.50, 0.60)"
P02-R05-Cheeseburger-160860-162030_2246.png,"(0.50, 0.50)"
P02-R05-Cheeseburger-162130-163570_2285.png,"(0.85, 0.75)"
P02-R05-Cheeseburger-166605-167535_2320.png,"(0.35, 0.45)"
P02-R05-Cheeseburger-168695-169525_2347.png,"(0.50, 0.45)"
P02-R05-Cheeseburger-169545-170065_2368.png,"(0.50, 0.60)"
P02-R05-Cheeseburger-170090-172150_2406.png,"(0.50, 0.45)"
P02-R05-Cheeseburger-173640-176800_2483.png,"(0.35, 0.65)"
P02-R05-Cheeseburger-176765-178255_2551.png,"(0.50, 0.60)"
P02-R05-Cheeseburger-178255-179625_2593.png,"(0.15, 0.25)"
P02-R05-Cheeseburger-179625-180565_2627.png,"(0.75, 0.80)"
P02-R05-Cheeseburger-180560-183050_2678.png,"(0.45, 0.65)"
P02-R05-Cheeseburger-183060-185340_2748.png,"(0.35, 0.60)"
P02-R05-Cheeseburger-185345-187175_2809.png,"(0.45, 0.50)"
P02-R05-Cheeseburger-187185-188385_2854.png,"(0.35, 0.55)"
P02-R05-Cheeseburger-188390-191210_2915.png,"(0.58, 0.67)"
P02-R05-Cheeseburger-191200-210765_3240.png,"(0.15, 0.65)"
P02-R05-Cheeseburger-196960-199055_3554.png,"(0.25, 0.45)"
P02-R05-Cheeseburger-202770-205050_3618.png,"(0.50, 0.60)"
P02-R05-Cheeseburger-210770-212650_3679.png,"(0.35, 0.42)"
P02-R05-Cheeseburger-215440-216910_3728.png,"(0.55, 0.75)"
P02-R05-Cheeseburger-216920-217720_3762.png,"(0.50, 0.50)"
P02-R05-Cheeseburger-217720-220275_3812.png,"(0.65, 0.75)"
P02-R05-Cheeseburger-220310-220970_3860.png,"(0.50, 0.30)"
P02-R05-Cheeseburger-223185-227525_3933.png,"(0.58, 0.72)"
P02-R05-Cheeseburger-227520-229970_4032.png,"(0.50, 0.60)"
P02-R05-Cheeseburger-234165-235295_4087.png,"(0.35, 0.65)"
P02-R05-Cheeseburger-238500-239180_4115.png,"(0.25, 0.45)"
P02-R05-Cheeseburger-239210-260600_4433.png,"(0.58, 0.65)"
P02-R05-Cheeseburger-260610-262080_4763.png,"(0.75, 0.80)"
