frame,gaze
P04-R06-GreekSalad-1000000-1003100_20498.png,"(0.45, 0.30)"
P04-R06-GreekSalad-1003100-1005030_20571.png,"(0.45, 0.38)"
P04-R06-GreekSalad-1005050-1007270_20631.png,"(0.52, 0.68)"
P04-R06-GreekSalad-1007280-1009850_20702.png,"(0.35, 0.65)"
P04-R06-GreekSalad-1010370-1011030_20750.png,"(0.35, 0.65)"
P04-R06-GreekSalad-1011880-1012760_20773.png,"(0.60, 0.70)"
P04-R06-GreekSalad-1013410-1015000_20811.png,"(0.35, 0.65)"
P04-R06-GreekSalad-1015000-1015660_20844.png,"(0.30, 0.50)"
P04-R06-GreekSalad-1015670-1021520_20939.png,"(0.58, 0.47)"
P04-R06-GreekSalad-1021540-1023590_21055.png,"(0.35, 0.45)"
P04-R06-GreekSalad-1023600-1024590_21101.png,"(0.60, 0.55)"
P04-R06-GreekSalad-1024590-1026500_21143.png,"(0.45, 0.65)"
P04-R06-GreekSalad-1026500-1030310_21226.png,"(0.45, 0.60)"
P04-R06-GreekSalad-1030310-1032850_21319.png,"(0.45, 0.80)"
P04-R06-GreekSalad-103230-106720_1092.png,"(0.75, 0.60)"
P04-R06-GreekSalad-1033660-1039180_21437.png,"(0.45, 0.30)"
P04-R06-GreekSalad-1046940-1049300_21552.png,"(0.75, 0.65)"
P04-R06-GreekSalad-1049310-1054640_21665.png,"(0.65, 0.60)"
P04-R06-GreekSalad-1054640-1056000_21763.png,"(0.42, 0.58)"
P04-R06-GreekSalad-1057190-1058460_21802.png,"(0.50, 0.80)"
P04-R06-GreekSalad-1060560-1063760_21868.png,"(0.50, 0.40)"
P04-R06-GreekSalad-1066940-1068290_21935.png,"(0.50, 0.60)"
P04-R06-GreekSalad-106710-107265_1151.png,"(0.50, 0.45)"
P04-R06-GreekSalad-1068300-1075240_22055.png,"(0.45, 0.60)"
P04-R06-GreekSalad-107265-112135_1230.png,"(0.45, 0.65)"
P04-R06-GreekSalad-1075250-1080020_22224.png,"(0.50, 0.60)"
P04-R06-GreekSalad-1080040-1083710_22347.png,"(0.35, 0.65)"
P04-R06-GreekSalad-1083700-1085040_22422.png,"(0.45, 0.80)"
P04-R06-GreekSalad-1087430-1088540_22458.png,"(0.75, 0.80)"
P04-R06-GreekSalad-1088530-1093540_22547.png,"(0.45, 0.75)"
P04-R06-GreekSalad-1093550-1097170_22672.png,"(0.25, 0.40)"
P04-R06-GreekSalad-1097175-1099375_22757.png,"(0.35, 0.42)"
P04-R06-GreekSalad-1099360-1100990_22813.png,"(0.50, 0.30)"
