frame,gaze
P07-R01-PastaSalad-101450-102930_873.png,"(0.45, 0.60)"
P07-R01-PastaSalad-102925-105105_927.png,"(0.50, 0.40)"
P07-R01-PastaSalad-1043125-1045925_16904.png,"(0.50, 0.45)"
P07-R01-PastaSalad-1045910-1046825_16959.png,"(0.50, 0.50)"
P07-R01-PastaSalad-1046825-1081655_17475.png,"(0.45, 0.60)"
P07-R01-PastaSalad-105100-106570_980.png,"(0.50, 0.40)"
P07-R01-PastaSalad-106570-107450_1015.png,"(0.15, 0.25)"
P07-R01-PastaSalad-107465-109075_1053.png,"(0.45, 0.60)"
P07-R01-PastaSalad-1081640-1084860_18023.png,"(0.50, 0.45)"
P07-R01-PastaSalad-1084860-1095030_18217.png,"(0.45, 0.50)"
P07-R01-PastaSalad-109075-110565_1099.png,"(0.55, 0.45)"
P07-R01-PastaSalad-1095060-1100500_18443.png,"(0.35, 0.40)"
P07-R01-PastaSalad-1100510-1105790_18598.png,"(0.45, 0.55)"
P07-R01-PastaSalad-1118470-1126780_18794.png,"(0.45, 0.30)"
P07-R01-PastaSalad-1126770-1127640_18928.png,"(0.45, 0.50)"
P07-R01-PastaSalad-1127620-1129620_18972.png,"(0.45, 0.50)"
P07-R01-PastaSalad-112875-114275_1141.png,"(0.15, 0.65)"
P07-R01-PastaSalad-1129625-1132535_19044.png,"(0.60, 0.45)"
P07-R01-PastaSalad-1137095-1139685_19125.png,"(0.50, 0.60)"
P07-R01-PastaSalad-114260-115350_1178.png,"(0.45, 0.65)"
P07-R01-PastaSalad-1144145-1145505_19183.png,"(0.45, 0.65)"
P07-R01-PastaSalad-1152210-1166330_19408.png,"(0.45, 0.55)"
P07-R01-PastaSalad-115720-117140_1215.png,"(0.75, 0.85)"
P07-R01-PastaSalad-1166320-1168670_19646.png,"(0.35, 0.60)"
P07-R01-PastaSalad-1168680-1191730_20013.png,"(0.45, 0.60)"
P07-R01-PastaSalad-117165-118105_1250.png,"(0.45, 0.50)"
P07-R01-PastaSalad-118090-120330_1297.png,"(0.50, 0.40)"
P07-R01-PastaSalad-1191760-1193790_20376.png,"(0.45, 0.50)"
P07-R01-PastaSalad-1193790-1208860_20624.png,"(0.45, 0.55)"
P07-R01-PastaSalad-120335-122255_1358.png,"(0.65, 0.45)"
P07-R01-PastaSalad-1208880-1213330_20906.png,"(0.45, 0.50)"
P07-R01-PastaSalad-1213330-1227715_21178.png,"(0.45, 0.55)"
P07-R01-PastaSalad-1227750-1229470_21411.png,"(0.45, 0.55)"
P07-R01-PastaSalad-1229480-1233170_21491.png,"(0.42, 0.56)"
P07-R01-PastaSalad-1236360-1240020_21600.png,"(0.45, 0.60)"
P07-R01-PastaSalad-124000-127130_1431.png,"(0.35, 0.45)"
P07-R01-PastaSalad-1240015-1245745_21736.png,"(0.65, 0.55)"
P07-R01-PastaSalad-1245730-1248570_21861.png,"(0.50, 0.45)"
P07-R01-PastaSalad-1248585-1250735_21934.png,"(0.45, 0.60)"
P07-R01-PastaSalad-1250745-1255645_22038.png,"(0.45, 0.60)"
P07-R01-PastaSalad-1255680-1263370_22221.png,"(0.50, 0.40)"
P07-R01-PastaSalad-1263380-1265740_22366.png,"(0.58, 0.42)"
P07-R01-PastaSalad-1265735-1268925_22446.png,"(0.35, 0.45)"
P07-R01-PastaSalad-1268915-1273205_22555.png,"(0.35, 0.55)"
P07-R01-PastaSalad-1273205-1274785_22642.png,"(0.45, 0.65)"
P07-R01-PastaSalad-1274770-1277780_22710.png,"(0.45, 0.50)"
P07-R01-PastaSalad-1277790-1284640_22853.png,"(0.35, 0.40)"
P07-R01-PastaSalad-1284650-1288070_23003.png,"(0.52, 0.48)"
P07-R01-PastaSalad-1288065-1289565_23075.png,"(0.45, 0.60)"
P07-R01-PastaSalad-1289560-1313550_23443.png,"(0.45, 0.60)"
P07-R01-PastaSalad-131150-133100_1505.png,"(0.30, 0.40)"
