frame,gaze
P09-R02-TurkeySandwich-110550-113100_1058.png,"(0.45, 0.35)"
P09-R02-TurkeySandwich-113132-114940_1122.png,"(0.52, 0.60)"
P09-R02-TurkeySandwich-114940-117581_1187.png,"(0.45, 0.40)"
P09-R02-TurkeySandwich-123250-126150_1268.png,"(0.50, 0.25)"
P09-R02-TurkeySandwich-128850-130550_1336.png,"(0.35, 0.65)"
P09-R02-TurkeySandwich-132350-136250_1418.png,"(0.65, 0.45)"
P09-R02-TurkeySandwich-145350-147050_1500.png,"(0.45, 0.60)"
P09-R02-TurkeySandwich-148550-149950_1546.png,"(0.50, 0.40)"
P09-R02-TurkeySandwich-151800-164600_1751.png,"(0.50, 0.45)"
P09-R02-TurkeySandwich-167550-171450_1992.png,"(0.50, 0.40)"
P09-R02-TurkeySandwich-172285-173958_2074.png,"(0.58, 0.62)"
P09-R02-TurkeySandwich-175650-177250_2123.png,"(0.35, 0.45)"
P09-R02-TurkeySandwich-181700-185400_2201.png,"(0.50, 0.45)"
P09-R02-TurkeySandwich-194000-198300_2318.png,"(0.50, 0.40)"
P09-R02-TurkeySandwich-198300-201000_2420.png,"(0.52, 0.43)"
P09-R02-TurkeySandwich-204050-205550_2481.png,"(0.50, 0.60)"
P09-R02-TurkeySandwich-207251-208491_2521.png,"(0.45, 0.60)"
P09-R02-TurkeySandwich-208550-214050_2620.png,"(0.48, 0.52)"
P09-R02-TurkeySandwich-216350-220850_2766.png,"(0.48, 0.50)"
P09-R02-TurkeySandwich-220850-224450_2884.png,"(0.50, 0.50)"
P09-R02-TurkeySandwich-225400-228600_2982.png,"(0.48, 0.56)"
P09-R02-TurkeySandwich-229550-234550_3102.png,"(0.50, 0.50)"
P09-R02-TurkeySandwich-237000-238700_3200.png,"(0.45, 0.60)"
P09-R02-TurkeySandwich-241300-247300_3312.png,"(0.58, 0.67)"
P09-R02-TurkeySandwich-251250-252850_3423.png,"(0.50, 0.30)"
P09-R02-TurkeySandwich-256100-260200_3507.png,"(0.50, 0.30)"
P09-R02-TurkeySandwich-260200-265600_3646.png,"(0.45, 0.55)"
P09-R02-TurkeySandwich-265600-273850_3845.png,"(0.50, 0.60)"
P09-R02-TurkeySandwich-278075-280675_4003.png,"(0.45, 0.60)"
P09-R02-TurkeySandwich-281825-283525_4067.png,"(0.45, 0.60)"
P09-R02-TurkeySandwich-283725-285625_4120.png,"(0.45, 0.45)"
P09-R02-TurkeySandwich-286325-289025_4187.png,"(0.25, 0.45)"
P09-R02-TurkeySandwich-291525-295275_4282.png,"(0.50, 0.40)"
P09-R02-TurkeySandwich-295275-296875_4361.png,"(0.50, 0.40)"
P09-R02-TurkeySandwich-297625-301925_4447.png,"(0.50, 0.45)"
P09-R02-TurkeySandwich-301925-308825_4609.png,"(0.58, 0.60)"
P09-R02-TurkeySandwich-309425-316425_4811.png,"(0.45, 0.60)"
P09-R02-TurkeySandwich-316425-319475_4957.png,"(0.65, 0.60)"
P09-R02-TurkeySandwich-319475-323200_5056.png,"(0.45, 0.35)"
P09-R02-TurkeySandwich-324287-330987_5208.png,"(0.50, 0.60)"
P09-R02-TurkeySandwich-330987-334787_5361.png,"(0.52, 0.60)"
P09-R02-TurkeySandwich-336750-339022_5450.png,"(0.55, 0.60)"
P09-R02-TurkeySandwich-344537-359887_5705.png,"(0.58, 0.62)"
P09-R02-TurkeySandwich-359887-360962_5944.png,"(0.45, 0.60)"
P09-R02-TurkeySandwich-361735-366635_6032.png,"(0.52, 0.60)"
P09-R02-TurkeySandwich-367024-370124_6149.png,"(0.52, 0.38)"
P09-R02-TurkeySandwich-372324-374624_6227.png,"(0.50, 0.30)"
P09-R02-TurkeySandwich-383174-391674_6384.png,"(0.50, 0.45)"
P09-R02-TurkeySandwich-392274-408674_6744.png,"(0.58, 0.42)"
P09-R02-TurkeySandwich-409224-413124_7037.png,"(0.50, 0.60)"
P09-R02-TurkeySandwich-414224-417524_7142.png,"(0.45, 0.60)"
P09-R02-TurkeySandwich-421224-425824_7258.png,"(0.45, 0.38)"
P09-R02-TurkeySandwich-430074-438774_7451.png,"(0.45, 0.45)"
P09-R02-TurkeySandwich-439400-442600_7624.png,"(0.50, 0.60)"
P09-R02-TurkeySandwich-454350-457450_7716.png,"(0.65, 0.45)"
P09-R02-TurkeySandwich-457450-459250_7787.png,"(0.58, 0.65)"
P09-R02-TurkeySandwich-468800-471400_7852.png,"(0.45, 0.25)"
P09-R02-TurkeySandwich-474650-480650_7977.png,"(0.45, 0.50)"
P09-R02-TurkeySandwich-483406-484542_8082.png,"(0.45, 0.50)"
P09-R02-TurkeySandwich-485767-487855_8131.png,"(0.40, 0.50)"
P09-R02-TurkeySandwich-489200-503600_8370.png,"(0.55, 0.30)"
P09-R02-TurkeySandwich-509438-510726_8597.png,"(0.50, 0.45)"
P09-R02-TurkeySandwich-510726-512300_8641.png,"(0.58, 0.62)"
P09-R02-TurkeySandwich-513500-516900_8714.png,"(0.65, 0.60)"
P09-R02-TurkeySandwich-517850-528550_8918.png,"(0.45, 0.60)"
P09-R02-TurkeySandwich-530850-533750_9115.png,"(0.65, 0.70)"
P09-R02-TurkeySandwich-538650-541150_9195.png,"(0.50, 0.20)"
P09-R02-TurkeySandwich-543050-546950_9288.png,"(0.35, 0.45)"
P09-R02-TurkeySandwich-559500-564500_9417.png,"(0.45, 0.50)"
P09-R02-TurkeySandwich-568550-572050_9541.png,"(0.50, 0.60)"
P09-R02-TurkeySandwich-574250-579250_9664.png,"(0.65, 0.60)"
P09-R02-TurkeySandwich-579700-584900_9812.png,"(0.45, 0.60)"
P09-R02-TurkeySandwich-597100-601100_9946.png,"(0.65, 0.70)"
P09-R02-TurkeySandwich-601950-611850_10148.png,"(0.65, 0.50)"
P09-R02-TurkeySandwich-61500-87000_367.png,"(0.50, 0.40)"
P09-R02-TurkeySandwich-615450-618550_10337.png,"(0.45, 0.60)"
P09-R02-TurkeySandwich-618950-620550_10407.png,"(0.45, 0.35)"
P09-R02-TurkeySandwich-621400-624800_10482.png,"(0.45, 0.65)"
P09-R02-TurkeySandwich-630763-633772_10576.png,"(0.45, 0.20)"
P09-R02-TurkeySandwich-634150-635850_10645.png,"(0.50, 0.60)"
P09-R02-TurkeySandwich-637850-639450_10695.png,"(0.35, 0.60)"
P09-R02-TurkeySandwich-91900-94900_779.png,"(0.35, 0.45)"
P09-R02-TurkeySandwich-95700-98700_867.png,"(0.50, 0.60)"
P09-R02-TurkeySandwich-98960-102729_966.png,"(0.45, 0.65)"
