frame,gaze
P13-R01-PastaSalad-1008739-1012623_20755.png,"(0.75, 0.45)"
P13-R01-PastaSalad-1012623-1014412_20838.png,"(0.50, 0.50)"
P13-R01-PastaSalad-1014853-1017930_20910.png,"(0.35, 0.28)"
P13-R01-PastaSalad-1017930-1019576_20979.png,"(0.50, 0.45)"
P13-R01-PastaSalad-1020599-1024138_21055.png,"(0.65, 0.60)"
P13-R01-PastaSalad-102378-104270_883.png,"(0.75, 0.60)"
P13-R01-PastaSalad-1027567-1058421_21552.png,"(0.45, 0.65)"
P13-R01-PastaSalad-105196-110281_985.png,"(0.75, 0.80)"
P13-R01-PastaSalad-1062321-1066993_22066.png,"(0.52, 0.48)"
P13-R01-PastaSalad-1066993-1071511_22200.png,"(0.65, 0.60)"
P13-R01-PastaSalad-1071511-1074403_22309.png,"(0.65, 0.70)"
P13-R01-PastaSalad-1077320-1079560_22385.png,"(0.65, 0.75)"
P13-R01-PastaSalad-1078123-1081157_22462.png,"(0.75, 0.45)"
P13-R01-PastaSalad-1079560-1081544_22537.png,"(0.75, 0.60)"
P13-R01-PastaSalad-1085589-1088957_22616.png,"(0.45, 0.75)"
P13-R01-PastaSalad-1091810-1098175_22757.png,"(0.50, 0.40)"
P13-R01-PastaSalad-110281-115390_1133.png,"(0.50, 0.60)"
P13-R01-PastaSalad-1118178-1125979_22962.png,"(0.65, 0.60)"
P13-R01-PastaSalad-1125979-1129200_23121.png,"(0.65, 0.45)"
P13-R01-PastaSalad-1129200-1131805_23206.png,"(0.45, 0.75)"
P13-R01-PastaSalad-1131809-1132960_23263.png,"(0.25, 0.70)"
P13-R01-PastaSalad-1133822-1136357_23318.png,"(0.45, 0.30)"
P13-R01-PastaSalad-1136357-1140990_23423.png,"(0.45, 0.65)"
P13-R01-PastaSalad-1140990-1142458_23512.png,"(0.45, 0.35)"
P13-R01-PastaSalad-1142458-1154840_23714.png,"(0.50, 0.60)"
P13-R01-PastaSalad-115390-120801_1287.png,"(0.45, 0.65)"
P13-R01-PastaSalad-1154840-1157900_23938.png,"(0.50, 0.60)"
