frame,gaze
P20-R04-ContinentalBreakfast-106677-108539_961.png,"(0.25, 0.15)"
P20-R04-ContinentalBreakfast-107763-109989_1020.png,"(0.45, 0.35)"
P20-R04-ContinentalBreakfast-115315-118365_1097.png,"(0.65, 0.42)"
P20-R04-ContinentalBreakfast-118955-121676_1182.png,"(0.45, 0.30)"
P20-R04-ContinentalBreakfast-126973-129202_1254.png,"(0.50, 0.60)"
P20-R04-ContinentalBreakfast-130130-132234_1318.png,"(0.50, 0.45)"
P20-R04-ContinentalBreakfast-132882-138806_1435.png,"(0.50, 0.30)"
P20-R04-ContinentalBreakfast-138359-139904_1543.png,"(0.25, 0.45)"
P20-R04-ContinentalBreakfast-139446-143440_1624.png,"(0.50, 0.60)"
P20-R04-ContinentalBreakfast-143458-145508_1713.png,"(0.50, 0.50)"
P20-R04-ContinentalBreakfast-145508-150416_1814.png,"(0.65, 0.60)"
P20-R04-ContinentalBreakfast-150187-154579_1948.png,"(0.50, 0.60)"
P20-R04-ContinentalBreakfast-154850-157266_2048.png,"(0.50, 0.30)"
P20-R04-ContinentalBreakfast-160948-165460_2150.png,"(0.35, 0.42)"
P20-R04-ContinentalBreakfast-165850-170137_2279.png,"(0.50, 0.60)"
P20-R04-ContinentalBreakfast-169628-175280_2423.png,"(0.55, 0.45)"
P20-R04-ContinentalBreakfast-174620-176017_2526.png,"(0.50, 0.40)"
P20-R04-ContinentalBreakfast-176037-177597_2571.png,"(0.65, 0.45)"
P20-R04-ContinentalBreakfast-177597-188078_2746.png,"(0.45, 0.50)"
P20-R04-ContinentalBreakfast-188078-189837_2924.png,"(0.45, 0.62)"
P20-R04-ContinentalBreakfast-193023-194754_2977.png,"(0.50, 0.45)"
P20-R04-ContinentalBreakfast-194754-201712_3103.png,"(0.50, 0.50)"
P20-R04-ContinentalBreakfast-201712-203755_3234.png,"(0.35, 0.45)"
P20-R04-ContinentalBreakfast-203755-204872_3281.png,"(0.50, 0.60)"
P20-R04-ContinentalBreakfast-205305-208443_3342.png,"(0.50, 0.50)"
P20-R04-ContinentalBreakfast-207419-217012_3527.png,"(0.35, 0.45)"
P20-R04-ContinentalBreakfast-220670-222416_3691.png,"(0.85, 0.65)"
P20-R04-ContinentalBreakfast-221778-225699_3774.png,"(0.65, 0.55)"
P20-R04-ContinentalBreakfast-234160-239843_3913.png,"(0.52, 0.24)"
P20-R04-ContinentalBreakfast-241719-246992_4072.png,"(0.65, 0.75)"
P20-R04-ContinentalBreakfast-265509-267461_4176.png,"(0.35, 0.45)"
P20-R04-ContinentalBreakfast-267554-270766_4251.png,"(0.50, 0.45)"
P20-R04-ContinentalBreakfast-270781-272656_4325.png,"(0.50, 0.50)"
P20-R04-ContinentalBreakfast-272978-289671_4594.png,"(0.65, 0.45)"
P20-R04-ContinentalBreakfast-303896-305943_4866.png,"(0.65, 0.45)"
P20-R04-ContinentalBreakfast-306102-310446_4960.png,"(0.35, 0.45)"
P20-R04-ContinentalBreakfast-310059-313054_5067.png,"(0.55, 0.45)"
P20-R04-ContinentalBreakfast-314293-317765_5161.png,"(0.50, 0.40)"
P20-R04-ContinentalBreakfast-318530-330784_5389.png,"(0.50, 0.60)"
P20-R04-ContinentalBreakfast-331071-332478_5587.png,"(0.45, 0.75)"
P20-R04-ContinentalBreakfast-332720-334612_5635.png,"(0.50, 0.50)"
P20-R04-ContinentalBreakfast-342043-344775_5702.png,"(0.58, 0.47)"
P20-R04-ContinentalBreakfast-345807-348143_5776.png,"(0.35, 0.45)"
P20-R04-ContinentalBreakfast-348513-353678_5885.png,"(0.45, 0.60)"
P20-R04-ContinentalBreakfast-354067-356381_5994.png,"(0.50, 0.60)"
P20-R04-ContinentalBreakfast-356381-360313_6085.png,"(0.50, 0.60)"
P20-R04-ContinentalBreakfast-360313-361483_6160.png,"(0.50, 0.60)"
P20-R04-ContinentalBreakfast-367887-370424_6215.png,"(0.45, 0.50)"
P20-R04-ContinentalBreakfast-371242-375354_6313.png,"(0.45, 0.65)"
P20-R04-ContinentalBreakfast-374983-386386_6539.png,"(0.50, 0.60)"
P20-R04-ContinentalBreakfast-386426-389597_6750.png,"(0.50, 0.60)"
P20-R04-ContinentalBreakfast-389166-390520_6816.png,"(0.50, 0.60)"
P20-R04-ContinentalBreakfast-390218-395453_6912.png,"(0.50, 0.60)"
P20-R04-ContinentalBreakfast-396899-402421_7068.png,"(0.50, 0.45)"
P20-R04-ContinentalBreakfast-405804-407104_7168.png,"(0.50, 0.60)"
