video_id,Question,Answer Options,Category
d3514422-dbe7-4f34-89a6-4aac0e12584b,Where is the card pack relative to your gaze direction after The woman H drops it on the table?,"A: The card pack is on the table, directly in front of my current fixation.
B: The card pack is on the table, slightly to the left of my current fixation.
C: The card pack is on the table, slightly to the right of my current fixation.
D: The card pack is on the table, behind my current fixation.
E: The card pack is on the table, to the right of the paper and slightly below my current fixation.",Living Room
30294c41-c90d-438a-af19-c1c74787d06b,"Why did I look at lady Z while she was walking, considering the shifts in my attention during the game?","A: I was checking if lady Z needed help with something.
B: I was distracted by the movement of lady Z and lost focus on the game.
C: I was anticipating lady Z's next move in the game based on her actions.
D: I was observing lady Z to see if she would interact with other players.
E: I was trying to gauge lady Z's reaction to the current state of the game.",Living Room
8634c58a-95ee-4aed-aa80-9392073815cf,Where is the white pepper container relative to my gaze when I added it into the mix of ingredients in the skillet?,"A: The white pepper container is on the countertop, directly below my gaze.
B: The white pepper container is on the countertop, to the left of my current fixation.
C: The white pepper container is on the countertop, to the right of my current fixation.
D: The white pepper container is on the countertop, behind my current fixation.
E: The white pepper container is on the countertop, in front of my current fixation.",Kitchen
dcca4382-3494-4bb2-b79a-0e514513895e,"Why did I peel the garlic cloves while preparing the ingredients, given the observed changes in my attention?","A: I was focused on removing the outer layers to ensure they were clean before cutting.
B: I was distracted by the smell of the spring onions and forgot about the garlic.
C: I was checking if the garlic was fresh by peeling it slowly.
D: I was trying to mimic someone else's cooking technique without understanding its purpose.
E: I was preparing the garlic for a different recipe that required peeled cloves.",Kitchen
642aefe6-1639-4331-a175-ce03faaecc04,What did the viewer look at immediately after interacting with Man A in Frame 3?,"A: The cards being held by Man A.
B: The nylon on the table.
C: The window behind Man A.
D: The papers scattered on the table.
E: The plant on the left side of the table.",Living Room
dafc891e-05f0-4734-88c6-1f818ac67a23,What did the viewer look at immediately after moving jigsaw pieces from the first box to the second bowl?,"A: The puzzle pieces in her left hand.
B: The sink area.
C: The scissors on the table.
D: The second bowl.
E: The first box.",Others
eaa6d996-c634-4488-9f7b-fe5487202f63,"Why did I fit the tire to a bike rim while inflating it, considering the shifts in my attention?","A: I was ensuring the tire was properly seated on the rim by focusing on the alignment.
B: I was distracted by the air pump and kept adjusting its position.
C: I was checking if the tire had any punctures before fitting it.
D: I was trying to impress others by showing off my bike maintenance skills.
E: I was preparing the bike for immediate use without proper inflation.",Garage
410ccf87-4217-4d87-836b-4af20b355d87,What did I look at after getting the soy sauce from the countertop?,"A: The recipe manual.
B: The chopping board.
C: The sink.
D: The white ceramic bowl.
E: The measuring spoon.",Kitchen
dafc891e-05f0-4734-88c6-1f818ac67a23,Where is the jigsaw piece that you picked from your left hand located relative to your current gaze direction?,"A: The jigsaw piece is in the second box, slightly below and to the right of your current gaze direction.
B: The jigsaw piece is on the table, directly in line with your current gaze direction.
C: The jigsaw piece is in your left hand, slightly above and to the left of your current gaze direction.
D: The jigsaw piece is in the first bowl, to the left of your current gaze direction.
E: The jigsaw piece is in the second bowl, to the right of your current gaze direction.",Others
ea5d4f8b-050f-4652-a83a-498f97586d8d,Where is the salt container relative to my current fixation when I get it from the countertop?,"A: The salt container is on the countertop, to the left of my current fixation.
B: The salt container is near the edge of the countertop, behind my current fixation.
C: The salt container is near the center of the countertop, slightly to the right of my current fixation.
D: The salt container is on the countertop, in front of my current fixation.
E: The salt container is near the edge of the countertop, to the left of the cutting board and my current fixation.",Kitchen
c8749317-8f4c-443a-9f82-6b18edbcac23,"Why did I add thyme to the tea in the saucepan, based on the changes in my attention during the task?","A: I was focusing on the recipe card to ensure I added the correct ingredients.
B: I was distracted by the measuring spoons and kept adjusting them.
C: I was checking if the water had reached the right temperature before adding any spices.
D: I was trying to mimic another chef's actions without understanding the purpose.
E: I was preparing the saucepan for a different dish.",Kitchen
642aefe6-1639-4331-a175-ce03faaecc04,"Why did I shuffle the cards while playing, given the observed changes in my attention?","A: I was trying to ensure a fair game by mixing the cards thoroughly.
B: I was distracted by the movements of Man A and kept adjusting my cards.
C: I was checking if any specific card was missing from the deck.
D: I was preparing for a trick by secretly organizing the cards.
E: I was mimicking Man A's actions as he seemed to be shuffling his cards.",Living Room
a5e81f20-ea35-4f63-a908-11d89fc1294c,What did I look at immediately after reading the recipe for the first time?,"A: The toasted sesame oil on the counter top.
B: The measuring spoon on the counter top.
C: The bowl where ingredients are being mixed.
D: The lemon juice on the table.
E: The sink.",Kitchen
ba2086b2-f43f-4096-8b84-e9a3bfc0020b,What did I look at immediately after cutting the tomato on the cutting board?,"A: The stove to check if it was turned on.
B: The skillet to ensure oil was evenly spread.
C: The sink to wash my hands.
D: The countertop to get more ingredients.
E: The dining area to see if anyone needed help.",Kitchen
46018fc1-21a0-4c62-b009-ad420b731686,"Why did I interlock my hands on the center of the patient's chest while performing CPR, given the observed changes in my attention?","A: I was ensuring proper hand placement for effective chest compressions.
B: I was distracted by the surrounding environment and needed to refocus.
C: I was checking if the patient had regained consciousness.
D: I was trying to communicate with someone nearby.
E: I was preparing to check the patient's breathing.",Medical Area
0d271871-c8ba-4249-9434-d39ce0060e58,Where is the object that I looked at for the longest time relative to the roll of tissue on the table?,"A: The object is to the left of the roll of tissue, near the edge of the table.
B: The object is directly in front of the roll of tissue, closer to the center of the table.
C: The object is to the right of the roll of tissue, near the woman X.
D: The object is behind the roll of tissue, closer to the man Z.
E: The object is to the left of the roll of tissue, near the coffee mug.",Kitchen
a261cc1d-7a45-479f-81a9-7c73eb379e6c,Where is the spring onion I am peeling located relative to my current fixation and other objects on the counter?,"A: The spring onion is on the cutting board, directly in front of my current fixation.
B: The spring onion is in a bowl on the kitchen counter, to the left of my current fixation.
C: The spring onion is on the cutting board, to the right of the knife and slightly below my current fixation.
D: The spring onion is on the counter, near the trash can, behind my current fixation.
E: The spring onion is in a tray with other vegetables, above my current fixation.",Kitchen
