video_id,group_id,Question,Answer Options,Correct Answer
OP01-R01-PastaSalad,"OP01-R01-PastaSalad-233420-239780_4017.png
OP01-R01-PastaSalad-241965-244385_4145.png
OP01-R01-PastaSalad-244430-245930_4203.png
OP01-R01-PastaSalad-246605-249935_4274.png
OP01-R01-PastaSalad-250740-252410_4348.png
OP01-R01-PastaSalad-251490-252970_4395.png
OP01-R01-PastaSalad-253960-261990_4533.png
OP01-R01-PastaSalad-262130-263690_4671.png
OP01-R01-PastaSalad-264115-265395_4713.png","Why did I cut the bell pepper while preparing the pasta salad, given the observed changes in my attention?","A: I was distracted by the nearby utensils and kept adjusting them.
B: I was checking if the bell pepper was fresh before cutting it.
C: I was following the recipe instructions closely as my gaze shifted to the recipe card.
D: I was trying to mimic someone else's cooking style as I glanced at them.
E: I was preparing the bell pepper for a different dish entirely.",C
OP01-R01-PastaSalad,"OP01-R01-PastaSalad-121790-123230_1229.png
OP01-R01-PastaSalad-123365-128265_1323.png
OP01-R01-PastaSalad-129150-132000_1437.png
OP01-R01-PastaSalad-133685-135325_1503.png
OP01-R01-PastaSalad-135590-154120_1795.png
OP01-R01-PastaSalad-155635-156645_2077.png
OP01-R01-PastaSalad-156575-167455_2249.png
OP01-R01-PastaSalad-169990-176650_2504.png
OP01-R01-PastaSalad-179365-195910_2839.png","Why did I repeatedly cut the tomato while preparing it, given the observed changes in my attention?","A: I was focused on slicing the tomato evenly to ensure uniform pieces for a recipe.
B: I was distracted by the other items in the fridge and kept returning to the tomato cutting task.
C: I was checking if the knife was sharp enough by repeatedly cutting the tomato.
D: I was trying to create a specific pattern on the tomato for presentation purposes.
E: I was mimicking someone else's actions as they were demonstrating how to cut tomatoes.",A
OP01-R02-TurkeySandwich,"OP01-R02-TurkeySandwich-230370-233050_4714.png
OP01-R02-TurkeySandwich-235330-236120_4766.png
OP01-R02-TurkeySandwich-236150-236890_4791.png
OP01-R02-TurkeySandwich-236920-237560_4812.png
OP01-R02-TurkeySandwich-238350-239120_4834.png
OP01-R02-TurkeySandwich-239280-240540_4865.png
OP01-R02-TurkeySandwich-240920-266270_5250.png
OP01-R02-TurkeySandwich-266350-270110_5671.png
OP01-R02-TurkeySandwich-270850-272340_5748.png","Why did I take the deli meat from the container while preparing the sandwich, given the observed changes in my attention?","A: I was distracted by the cheese and kept adjusting it on the counter.
B: I was checking if the deli meat was fresh before adding it to the sandwich.
C: I was trying to hide the deli meat from others who might want some.
D: I was ensuring that the deli meat slices were evenly distributed for the sandwich.
E: I was mimicking someone else's actions as they prepared a similar sandwich nearby.",D
OP01-R02-TurkeySandwich,"OP01-R02-TurkeySandwich-314470-315320_6389.png
OP01-R02-TurkeySandwich-316180-317130_6416.png
OP01-R02-TurkeySandwich-316480-317470_6446.png
OP01-R02-TurkeySandwich-318450-319100_6471.png
OP01-R02-TurkeySandwich-319320-320450_6497.png
OP01-R02-TurkeySandwich-320460-321280_6526.png
OP01-R02-TurkeySandwich-321430-322290_6552.png
OP01-R02-TurkeySandwich-323880-328920_6638.png
OP01-R02-TurkeySandwich-329000-330270_6731.png","Why did I place the lettuce on the sandwich while assembling it, given the observed changes in my attention?","A: I was ensuring that the lettuce was evenly distributed across the sandwich.
B: I was distracted by the cheese and kept adjusting its position.
C: I was checking if the lettuce was fresh before adding it to the sandwich.
D: I was trying to mimic someone else's method of making a sandwich.
E: I was preparing the lettuce for a different dish.",A
OP01-R03-BaconAndEggs,"OP01-R03-BaconAndEggs-411529-414409_7126.png
OP01-R03-BaconAndEggs-414509-416229_7194.png
OP01-R03-BaconAndEggs-422930-424020_7236.png
OP01-R03-BaconAndEggs-422940-423770_7265.png
OP01-R03-BaconAndEggs-424400-426030_7302.png
OP01-R03-BaconAndEggs-426410-430780_7390.png
OP01-R03-BaconAndEggs-430860-433750_7496.png
OP01-R03-BaconAndEggs-433760-434890_7555.png
OP01-R03-BaconAndEggs-433840-437080_7618.png","Why did I pour juice into the cup while organizing my kitchen, given the observed changes in my attention?","A: I was distracted by the nearby sugar container and accidentally poured the juice.
B: I was checking if the juice container was empty before discarding it.
C: I intended to prepare a drink for myself after noticing the juice container.
D: I was mimicking someone else's actions as they were pouring a similar drink.
E: I was trying to clean the cabinet by using the juice as a cleaning agent.",C
OP01-R03-BaconAndEggs,"OP01-R03-BaconAndEggs-597152-600193_14187.png
OP01-R03-BaconAndEggs-712049-713777_14257.png
OP01-R03-BaconAndEggs-714292-715706_14303.png
OP01-R03-BaconAndEggs-717440-718650_14342.png
OP01-R03-BaconAndEggs-718820-749420_14802.png
OP01-R03-BaconAndEggs-749464-750030_15252.png
OP01-R03-BaconAndEggs-750188-753636_15311.png
OP01-R03-BaconAndEggs-754029-757142_15407.png
OP01-R03-BaconAndEggs-757534-761303_15508.png","Why did I transfer the eggs from the pan to the plate while cooking, given the observed changes in my attention?","A: I was distracted by the stove's digital display and lost track of the cooking process.
B: My gaze shifted towards the plate as a signal that it was time to serve the eggs.
C: I noticed the eggs were overcooked and quickly moved them to avoid burning.
D: I was checking the consistency of the eggs by looking at the pan closely.
E: I was preparing to add more ingredients to the pan.",B
OP01-R04-ContinentalBreakfast,"OP01-R04-ContinentalBreakfast-159425-160235_2179.png
OP01-R04-ContinentalBreakfast-159865-161115_2211.png
OP01-R04-ContinentalBreakfast-161325-163355_2260.png
OP01-R04-ContinentalBreakfast-162315-163760_2312.png
OP01-R04-ContinentalBreakfast-163455-174245_2490.png
OP01-R04-ContinentalBreakfast-174480-176400_2675.png
OP01-R04-ContinentalBreakfast-176435-177235_2715.png
OP01-R04-ContinentalBreakfast-177260-178810_2750.png
OP01-R04-ContinentalBreakfast-179080-179850_2785.png","Why did I take the plate from the counter while preparing my meal, given the observed changes in my attention?","A: I was distracted by the bread container and wanted to clear the counter space.
B: I needed the plate to serve the food I was about to prepare.
C: I was checking if the plate was clean before using it.
D: I was mimicking someone else's actions as they were also preparing a meal nearby.
E: I was trying to hide the plate from view to avoid distractions.",B
OP01-R04-ContinentalBreakfast,"OP01-R04-ContinentalBreakfast-180020-181560_2820.png
OP01-R04-ContinentalBreakfast-193930-195030_2859.png
OP01-R04-ContinentalBreakfast-195295-197395_2906.png
OP01-R04-ContinentalBreakfast-197710-200540_2977.png
OP01-R04-ContinentalBreakfast-200790-201305_3026.png
OP01-R04-ContinentalBreakfast-201665-202815_3053.png
OP01-R04-ContinentalBreakfast-202925-205315_3105.png
OP01-R04-ContinentalBreakfast-206675-207695_3155.png
OP01-R04-ContinentalBreakfast-208910-210280_3190.png","Why did I take the eating utensil while preparing the meal, given the observed changes in my attention?","A: I was distracted by the nearby mug and kept reaching for it instead of the utensil.
B: I needed the utensil to stir the contents of the pot after adding condiments.
C: I was checking if the utensil was clean before using it.
D: I was mimicking someone else's actions as they were also using a utensil.
E: I was trying to hide the utensil from others who might need it.",B
OP01-R05-Cheeseburger,"OP01-R05-Cheeseburger-211940-214370_3561.png
OP01-R05-Cheeseburger-215300-217780_3633.png
OP01-R05-Cheeseburger-219290-222600_3719.png
OP01-R05-Cheeseburger-225000-226090_3784.png
OP01-R05-Cheeseburger-226340-227360_3815.png
OP01-R05-Cheeseburger-227440-231340_3887.png
OP01-R05-Cheeseburger-231490-232840_3964.png
OP01-R05-Cheeseburger-233640-235950_4018.png
OP01-R05-Cheeseburger-252510-257830_4128.png","Why did I take the tomato while preparing the meal, given the observed changes in my attention?","A: I was distracted by the nearby cooking utensils and accidentally grabbed the tomato.
B: I was focusing on the grocery bag to ensure all ingredients were accounted for before using the tomato.
C: I was planning to cut the tomato next as part of the meal preparation process.
D: I was influenced by someone else's actions and decided to use the tomato without thinking.
E: I was checking if the tomato was ripe enough for the dish.",C
OP01-R05-Cheeseburger,"OP01-R05-Cheeseburger-71370-72800_643.png
OP01-R05-Cheeseburger-72850-75000_696.png
OP01-R05-Cheeseburger-75030-77270_761.png
OP01-R05-Cheeseburger-78060-79320_813.png
OP01-R05-Cheeseburger-79940-80950_847.png
OP01-R05-Cheeseburger-80980-81890_876.png
OP01-R05-Cheeseburger-82980-84370_910.png
OP01-R05-Cheeseburger-84370-86700_965.png
OP01-R05-Cheeseburger-86760-88090_1019.png","Why did I open the patty container and take a patty, considering the shifts in my attention during the task?","A: I was distracted by the patties' appearance and decided to inspect them closely.
B: I was preparing to cook the patties and needed one for immediate use.
C: I was checking if the patties were spoiled before storing them back in the fridge.
D: I was influenced by someone else's suggestion to try a different brand of patties.
E: I was merely curious about the packaging design and opened it without any specific purpose.",B
OP01-R07-Pizza,"OP01-R07-Pizza-399090-400600_7363.png
OP01-R07-Pizza-401870-402660_7397.png
OP01-R07-Pizza-402830-404900_7441.png
OP01-R07-Pizza-405680-428800_7805.png
OP01-R07-Pizza-429540-430940_8160.png
OP01-R07-Pizza-432225-445215_8369.png
OP01-R07-Pizza-446190-446900_8567.png
OP01-R07-Pizza-446960-447770_8590.png
OP01-R07-Pizza-448510-449610_8619.png","Why did I transfer the mushrooms from the plate to the pan while cooking, given the observed changes in my attention?","A: I was distracted by the nearby salt container and accidentally spilled some salt into the pan.
B: My gaze shifted towards the pan as I anticipated adding the mushrooms to cook them with other ingredients.
C: I was checking if the mushrooms were properly chopped before transferring them, focusing on their size.
D: I noticed someone entering the kitchen and decided to speed up the process by quickly moving the mushrooms.
E: I was trying to clear the workspace by putting away the plate, without considering the cooking sequence.",B
OP01-R07-Pizza,"OP01-R07-Pizza-451150-452220_8651.png
OP01-R07-Pizza-452230-453630_8688.png
OP01-R07-Pizza-453795-454465_8719.png
OP01-R07-Pizza-454525-470215_8955.png
OP01-R07-Pizza-470410-471520_9198.png
OP01-R07-Pizza-477680-496700_9489.png
OP01-R07-Pizza-497940-502940_9836.png
OP01-R07-Pizza-505610-525670_10199.png
OP01-R07-Pizza-526740-532070_10567.png","Why did I inspect the phone while cooking mushrooms, given the observed changes in my attention?","A: I was checking a recipe to ensure I was adding the right ingredients.
B: I was distracted by an incoming message and lost focus on cooking.
C: I was verifying the temperature of the stove for optimal cooking.
D: I was looking up a new cooking technique unrelated to the current meal.
E: I was confirming the next step in the cooking process based on the recipe.",A
OP02-R01-PastaSalad,"OP02-R01-PastaSalad-184439-198945_3522.png
OP02-R01-PastaSalad-201653-205069_3782.png
OP02-R01-PastaSalad-205091-232017_4220.png
OP02-R01-PastaSalad-232535-233381_4621.png
OP02-R01-PastaSalad-233439-234362_4649.png
OP02-R01-PastaSalad-235458-237766_4697.png
OP02-R01-PastaSalad-239324-241478_4763.png
OP02-R01-PastaSalad-245017-246210_4813.png
OP02-R01-PastaSalad-248287-248902_4841.png","Why did I take the cucumber container from the fridge drawer while preparing a meal, given the observed changes in my attention?","A: I was distracted by the bright light inside the fridge and grabbed the nearest item.
B: I was checking if there were any fresh vegetables available for the recipe I was following.
C: I was looking for a high-salience item to use as a centerpiece for the table setting.
D: I was influenced by social cues suggesting that cucumbers are popular in salads.
E: I was trying to hide the cucumbers from others who might want them.",B
OP02-R01-PastaSalad,"OP02-R01-PastaSalad-80101-81293_904.png
OP02-R01-PastaSalad-83005-88351_1001.png
OP02-R01-PastaSalad-92716-109319_1319.png
OP02-R01-PastaSalad-114611-119688_1633.png
OP02-R01-PastaSalad-120572-121610_1722.png
OP02-R01-PastaSalad-122437-139846_1990.png
OP02-R01-PastaSalad-141035-155935_2458.png
OP02-R01-PastaSalad-156485-177285_2974.png
OP02-R01-PastaSalad-177882-179113_3293.png","Why did I cut the cucumber while preparing the salad, given the observed changes in my attention?","A: I was focused on slicing the cucumber evenly to ensure it would mix well with the other ingredients.
B: I was distracted by the nearby bottle of lemon juice and kept adjusting my grip on the knife.
C: I was checking if the tomato was ready to be added next, which influenced my cutting pattern.
D: I was trying to mimic someone else's technique for cutting cucumbers that I saw earlier.
E: I was drawn to the high-salience objects like the spice jars and lost focus on the task.",A
OP02-R02-TurkeySandwich,"OP02-R02-TurkeySandwich-280625-288575_3706.png
OP02-R02-TurkeySandwich-288580-289430_3834.png
OP02-R02-TurkeySandwich-289845-296645_3946.png
OP02-R02-TurkeySandwich-296650-297630_4060.png
OP02-R02-TurkeySandwich-297650-313953_4310.png
OP02-R02-TurkeySandwich-314990-318850_4602.png
OP02-R02-TurkeySandwich-318870-321450_4697.png
OP02-R02-TurkeySandwich-322790-324610_4762.png
OP02-R02-TurkeySandwich-324620-325640_4804.png","Why did I place the lettuce on the bread while preparing the sandwich, given the observed changes in my attention?","A: I was ensuring the lettuce was evenly spread to enhance the sandwich's flavor.
B: I was distracted by the condiment container and accidentally placed the lettuce.
C: I was checking if the lettuce was fresh by closely observing it before placing it.
D: I was mimicking someone else’s actions as they were making a similar sandwich nearby.
E: I was trying to balance the weight of the sandwich by adding the lettuce last.",C
OP02-R02-TurkeySandwich,"OP02-R02-TurkeySandwich-239330-240560_2806.png
OP02-R02-TurkeySandwich-243680-250190_2919.png
OP02-R02-TurkeySandwich-251410-255820_3077.png
OP02-R02-TurkeySandwich-255845-256605_3153.png
OP02-R02-TurkeySandwich-259695-261065_3185.png
OP02-R02-TurkeySandwich-260850-271150_3354.png
OP02-R02-TurkeySandwich-270480-271160_3513.png
OP02-R02-TurkeySandwich-275650-276990_3543.png
OP02-R02-TurkeySandwich-279480-280390_3577.png","Why did I pull apart the lettuce while preparing a meal, given the observed changes in my attention?","A: I was distracted by the newspaper on the counter and kept reading it.
B: I was checking for any spoiled leaves before washing them.
C: I was trying to evenly distribute the lettuce for plating.
D: I was mimicking someone else's actions as they prepared food nearby.
E: I was ensuring the lettuce would fit into the fridge properly.",B
